!01	Naginata (1)
!03	Naginata (2)
!05	Naginata (3)
!06	Naginata (4)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!1!	Warp Blade (2)
!10	Raptor Scythe (2)
!12	Raptor Scythe (3)
!13	Raptor Scythe (4)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!17	Bonesplitter (2)
!19	Bonesplitter (3)
!20	Bonesplitter (4)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!24	Mammen Axe (2)
!26	Mammen Axe (3)
!27	Mammen Axe (4)
!28	Mammen Axe (Sacred)
!3!	Warp Blade (3)
!30	Hammerhead Axe (2)
!32	Hammerhead Axe (3)
!33	Hammerhead Axe (4)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!37	Ono (2)
!39	Ono (3)
!4!	Warp Blade (4)
!40	Ono (4)
!41	Ono (Sacred)
!42	Valaska (1)
!44	Valaska (2)
!46	Valaska (3)
!47	Valaska (4)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!51	Labrys (2)
!53	Labrys (3)
!54	Labrys (4)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!58	Flamen Staff (2)
!60	Flamen Staff (3)
!61	Flamen Staff (4)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!65	Marrow Staff (2)
!67	Marrow Staff (3)
!68	Marrow Staff (4)
!69	Marrow Staff (Sacred)
!70	Hexblade (1)
!72	Hexblade (2)
!74	Hexblade (3)
!75	Hexblade (4)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!79	Spirit Edge (2)
!81	Spirit Edge (3)
!82	Spirit Edge (4)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!86	Holy Lance (2)
!88	Holy Lance (3)
!89	Holy Lance (4)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!93	Tepoztopilli (2)
!95	Tepoztopilli (3)
!96	Tepoztopilli (4)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!@1	\dgreen;Evil Eye of the Clawstorm
!@2	\dgreen;Evil Eye of the Landmass
!@3	\dgreen;Evil Eye of the Glowing Blob
!@4	\dgreen;Evil Eye of the Fairy Witch
!@5	\dgreen;Evil Eye of the Bane Hunter
!@6	\dgreen;Dogma of Suffering
!@7	\dgreen;Dogma of Pain
!@8	\dgreen;Dogma of Hatred
!@9	\dgreen;Dogma of Terror
!@A	\dgreen;Dogma of Destruction
!@B	\dgreen;Signet of Skill
##.	\gold;Neutrality Pact
##^	\dgreen;Custom Signet of Learning
#01	\orange;Lord Aldric Jitan Trophy
#02	\orange;Legacy of Blood Trophy
#03	\orange;Judgement Day Trophy
#04	\orange;Akarat Trophy
#05	\orange;Kingdom of Shadow Trophy
#06	\orange;Duncraig Trophy
#07	\orange;Rathma Square Trophy
#08	\orange;Cathedral of Light Trophy
#09	\orange;Tran Athulua Trophy
#10	\orange;Quov Tsin Trophy
#11	\orange;Astrogha Trophy
#12	\orange;The Lord of Sin Trophy
#13	\orange;Viz-jun Trophy
#14	\orange;Archbishop Lazarus Trophy
#15	\orange;Triune Trophy
#16	\orange;Uldyssian's Trophy
#17	\orange;Black Road Trophy
#1^	\gold;Diablo's Essence
#2^	\orange;Pandora's Box
#X0	Gem
#X1	Cube Reagent (Secret)\n\orange;Emblem of Suffering
#X2	Cube Reagent (Secret)\n\orange;Emblem of Pain
#X3	Cube Reagent (Secret)\n\orange;Emblem of Hatred
#X4	Cube Reagent (Secret)\n\orange;Emblem of Terror
#X5	Cube Reagent (Secret)\n\orange;Emblem of Destruction
#X6	Cube Reagent (Secret)\n\orange;Emblem of Lies
#X7	Level Challenge 0
#X8	\red;Instructions\nLevel Challenge 0
#X9	Cube Reagent\n\orange;Griswold's Treasure
#Y^	Creator's Hand\nCongratulations!
&66	\orange;Mystic Orb\nKara's Trinket
UldyssianTG	Tomb Guard
UlfhedinnA	Ulfhedinn
UlfhedinnReanimate	Ulfhedinn
Umbaru's Jinx	Umbaru's Jinx
Umbral Disk	Umbral Disk
Umes Lament	Ume's Lament
Undead Crown	Undead Crown
Undead Fetish	Undead Fetish
Undead Flayer	Undead Flayer
Undead RatMan	Undead Rat Man
Undead SoulKiller	Undead Soul Killer
Undead StygianDoll	Undead Stygian Doll
UndeadCounselor	Undead Counselor
UndeadDescriptX	Undead
UndeadScavenger	Undead Scavenger
UndeadVulture	Undead Vulture
Underground Passage Level 1	Underground Passage
Underground Passage Level 2	Underground Passage Level 2
Unearthly	Unearthly
UnholyCorpse	Unholy Corpse
UnholyScarab	Unholy Scarab
Unicorn	Unicorn
UniqueDemonsbane	By Robert Marks\nDemonsbane
Unity	Unity
Unraveler	Unraveler
UnravellerHeadSU3	Sentry of Death
Upgrade	imbue
UpgradedBossKillerRing	Assur's Bane
UpgradedBossSummonerRing	Quest Ring\nSigil of the 7 Deadly Sins
Upper Kurast	Upper Kurast
Urada	Urada
Urdar	Urdar
Urgent	Urgent
Urn	Urn
Use	Use Gem
Used	Used
VKPet	Veil King
VSTI	Astrogha's Venom Stinger
ValaskaSU3	Dragonclaw
ValkQ	Valkyrie
Valkiry Wing	Valkyrie Wing
Valkyrie	Valkyrie
Valkyrie's	Valkyrie's
Valley of Snakes	Valley of Snakes
ValtheksCommand	Valthek's Command
Vampiregaze	Vampire Gaze
Vampiress	Vampiress
Vanity	Vanity
Vase	Vase
Veil of Steel	Veil of Steel
VeilKing	Veil King
VeilKingRean	Veil King
VeilOfTheTaintedSun	Veil of the Tainted Sun
VeilTerror	Veil Terror
VeilofSteel	Veil of Steel
Venefica	Venefica
Vengeances	Spirit of Vengeance
VengeancesPet	Vengeance
Venom Grip	Venom Grip
VenomFiend	Venom Fiend
VenomLord	Venom Lord
VenomSting	Venom Sting
Venomous	Venomous
Venomsward	Venom Ward
Ventrue	Ventrue
Verdugo's Hearty Cord	Verdungo's Hearty Cord
VerifyTransaction1	Yes
VerifyTransaction2	No
VerifyTransaction3	Gold:
VerifyTransaction4	Sell
VerifyTransaction5	Buy
VerifyTransaction6	Hire
VerifyTransaction7	Identify
VerifyTransaction8	Repair
VerifyTransaction9	This Mercenary will eat your current one.
Vermilion	Vermilion
Vermillion	Vermilion
Vertigo	Vertigo
VesselX	Vessel
Veteran's	Veteran's
Vicegrip	Visegrip
Vicious	Vicious
Victorious	Victorious
Victors Silk	Silks of the Victor
Vidala's	Vidala's
Vidala's Ambush	Vidala's Ambush
Vidala's Barb	Vidala's Barb
Vidala's Fetlock	Vidala's Fetlock
Vidala's Rig	Vidala's Rig
Vidala's Snare	Vidala's Snare
Vigorous	Vigorous
Vile	Vile
VileArcher	Vile Archer
VileHunter	Vile Hunter
VileLancer	Vile Lancer
VileTemptress	Vile Temptress
VileWitch	Vile Witch
Vilehand	Vilehand
Vindicatress	Vindicatress
Vine Creature	Vine Creature
Vinvear Molech	Vinvear Molech
Viper	Viper
ViperMandate	Viper Mandate
ViperUM	Viper
Vipercast	Vipercast
Viperfork	Viperfork
Viridian	Viridian
Visage	Visage
Visceratuant	Visceratuant
VisionDesc	\gold;Baal is Invulnerable
VisionOfTheFuries	Vision of the Furies
Visionary	Visionary
VisofAnguish	Vision of Anguish
VisofHatred	Vision of Hatred
VisofPain	Vision of Pain
VisofTerror	Vision of Terror
Visor	Visor
Vital	Vital
Vivid	Vivid
Vizharan	Vizharan
Vizjerei Temple	Vizjerei Temple
Vizjerei's Folly	Vizjerei's Folly
VizjereiFury	Vizjerei Fury
VizjereisNecklace	Vizjerei's Necklace
VizjereisRitual	Vizjerei's Ritual
Vizjun	Vizjun
Vizjuns Scitek	Vizjuns Scitek
Vodoun	Mojo
VoiceofArreat	Voice of Arreat
Void	Void
VoidArchon	Void Archon
VoidArchonZ	Void Archon
VoidDark	Darkspawn
VoidGhost	Eternal Ghost
Voidstream	Voidstream
Volcanic	Volcanic
VortexLord	Vortex Lord
Vulpine	Vulpine
WRSpeedplev	Walk/Run Speed per Level
Wailing	Wailing
WailingBeast	Wailing Beast
WailingSpirit	Wailing Spirit
Wake of Destruction	Wake of Fire
Wake of Destruction6	Wake of Destruction
Wall of the Eyeless	Wall of the Eyeless
WallOfFire	Wall of Fire
Wallace's Tear	Wallace's Tear
WandSU3	Fury of the Storm
WanderingSarandesh	Wandering Sarandesh
War Bonnet	Biggin's Bonnet
WarHammerSU3	Forge Fire
WarSwordSU3	Eternal Vigil
Ward	Ward
Wardance6	Wardance
Warder's	Warden's
Warfeast	Warfeast
Warhound	Warhound
Wariv	Warriv
Warlock	Warlock
Warlord's Trust	Warlord's Trust
Warmaggot the Mad	Warmaggot the Mad
Warmo	The Aggressor
WarmongerX	Warmonger
Warp	Warp
Warpath	Warpath
WarpedFallen	Warped One
WarpedShaman	Warped Shaman
Warpspear	Warpspear
Warpwing	Warpwing
Warrior's	Warrior's
Warriv	Warriv
Warriv's Warder	Warriv's Warder
WarrivAct1IntroGossip1	45\nGreetings, stranger. I'm not surprised \nto see your kind here. Many \nadventurers have traveled this way \nsince the recent troubles began.\n \nNo doubt you've heard about the \ntragedy that befell the town of \nTristram. Some say that Diablo, the \nLord of Terror, walks the world again.\n \nI don't know if I believe that, but a Dark \nWanderer did travel this route a few \nweeks ago. He was headed east to the \nmountain pass guarded by the Rogue \nMonastery.\n \nMaybe it's nothing, but evil seems to \nhave trailed in his wake. You see, \nshortly after the Wanderer went \nthrough, the Monastery's Gates to the \npass were closed and strange \ncreatures began ravaging the \ncountryside.\n \nUntil it's safer outside the camp and the \ngates are re-opened, I'll remain here \nwith my caravan. I hope to leave for \nLut Gholein before the shadow that fell \nover Tristram consumes us all. If \nyou're still alive then, I'll take you \nalong.\n \nYou should talk to Akara, too. She \nseems to be the leader of this camp. \nMaybe she can tell you more.\n
WarrivAct1IntroPalGossip1	45\nWell met, noble Paladin. It's been a \nwhile since I've seen any of your kind in \nthe west. It would be an honor to aid \nyou in any way that I can.\n \nNo doubt you've heard about the \ntragedy that befell the town of \nTristram. Some say that Diablo, the \nLord of Terror, walks the world again.\n \nI don't know if I believe that, but a Dark \nWanderer did travel this route a few \nweeks ago. He was headed east to the \nmountain pass guarded by the Rogue \nMonastery.\n \nMaybe it's nothing, but evil seems to \nhave trailed in his wake. You see, \nshortly after the Wanderer went \nthrough, the Monastery's Gates to the \npass were closed and strange \ncreatures began ravaging the \ncountryside.\n \nUntil it's safer outside the camp and the \ngates are re-opened, I'll remain here \nwith my caravan. I hope to leave for \nLut Gholein before the shadow that fell \nover Tristram consumes us all. If \nyou're still alive then, I'll take you \nalong.\n \nYou should talk to Akara, too. She \nseems to be the leader of this camp. \nMaybe she can tell you more.\n
WarrivAct2Gossip1	106\nCaravans take people where they want \nto go - until they get there.\n
WarrivAct2Gossip2	80\nBy ship is the only way eastward from \nhere. I believe Captain Meshif has a \nsmall trading vessel moored at the \ndocks.\n
WarrivAct2Gossip3	70\nThere used to be a lot of brothels \nhere... I guess the troubles scared all \nthe women away, or maybe they're \n'safe' in Jerhyn's palace.\n
WarrivAct2Gossip4	53\nThat old desert fox, Elzix, is as crafty \nas they come. Years back, he made off \nwith a small fortune of my caravan's \nwares. I certainly never expected to see \nhim so... domesticated.\n
WarrivAct2Gossip5	57\nJerhyn has his father's strength and \nwits. He's young, but he rules this \nplace with wisdom and care. I think \nhe'll grow into a fine Sultan... Provided \nwe all survive this crisis.\n
WarrivAct2IntroGossip1	62\nNow that Andariel is dead, I can return \nand outfit the Rogues properly. Once \nI've made some trades here, I'll be free \nto head back to their Monastery. Let \nme know if you want to travel along.\n
WarrivGossip1	51\nI've been leading my trade caravan \nacross the eastern deserts for more \nthan twenty years now. I've been \nattacked by bandits and outlaws more \ntimes than I can remember. But never \nwhen a Paladin accompanied me. \n \nIndeed, your Order has saved me from \nlosing a small fortune over the years. I \njust hope you can discover what's \ngoing on around here and get the \nGates to the East opened up!\n
WarrivGossip2	85\nCain seems to have great wisdom \nregarding the supernatural. I hope I \nnever live to be that wise...\n
WarrivGossip3	58\nAkara is the Rogues' High Priestess. She \nsells the few magic items in her \npossession and can even heal your \nwounds. She is very wise and will help \nyou if she can.\n
WarrivGossip4	66\nThe fiery Kashya commands the Rogue \narchers in battle. I've only spoken to \nher a few times, though. I get the \nfeeling that she doesn't like outsiders \nvery much.\n
WarrivGossip5	88\nCharsi seems to be a very sweet girl. \nShe's the smith around here and can \nhelp you by trading weapons and \narmor.\n
WarrivGossip6	55\nGheed is a wandering merchant of \nquestionable character who is traveling \nalong with my caravan to the East. He \nwill buy and sell most anything.\n \nHe's greedy, but his wares are beyond \nreproach. I would suggest keeping both \neyes open when you deal with him.\n
WarrivGossip7	71\nTo the east are lands of great \nmystery... and the Jewel City of the \nDesert, Lut Gholein.\n
WarrivGossip8	68\nI'll gladly take you eastward, if you can \ndrive the Evil from the Monastery. \nThen, the Rogues may re-open the pass \nthrough the mountains.\n
WarrivGossip9	70\nIt's easy to become lost in the \nwilderness on the way to the Citadel. \nAfter you have come to the Cairn \nStones, you must remember that the \npath continues through the caves.\n
WarrivMenu1b	go east
WarrivMenu1c	go west
Warshrike	Warshrike
Wartraveler	War Traveler
Warwind	Warwind
WashiBaiRon	Washi Bai Ron
Wasp Sting	Wasp Sting
WaterWatcherHead	Water Watcher
WaterWatcherLimb	Water Watcher
Waterwalk	Waterwalk
Waypoint	Waypoint
WeapDamsk	Weapon Damage
WeaponAttackFast	Fast Attack Speed
WeaponAttackFastest	Fastest Attack Speed
WeaponAttackNormal	Normal Attack Speed
WeaponAttackSlow	Slow Attack Speed
WeaponAttackSlowest	Slowest Attack Speed
WeaponAttackVeryFast	Very Fast Attack Speed
WeaponAttackVerySlow	Very Slow Attack Speed
WeaponDescAxe	Axe Class
WeaponDescBow	Bow Class
WeaponDescCrossBow	Crossbow Class
WeaponDescDagger	Dagger Class
WeaponDescH2H	Claw Class
WeaponDescJavelin	Javelin Class
WeaponDescMace	Mace Class
WeaponDescOrb	Orb Class
WeaponDescPoleArm	Polearm Class
WeaponDescSpear	Spear Class
WeaponDescStaff	Staff Class
WeaponDescSword	Sword Class
WeaponDescThrownPotion	Equip to Throw
WeaponRack	Weapon Rack
WeatherControl	Weather Control
Web Mage the Burning	Sszark the Burning
Web of Deceit	Web of Deceit
Webspinner	Webspinner
WeddingDress	Wedding Dress of the Zann
Weird	Weird
Well	Well
Werecat	Werecat
Wheel of Fortune	Wheel of Fortune
Whichwild String	Witchwild String
Wicked	Wicked
WickedSE	Wicked Man
Widow maker	Widowmaker
Widowmaker	Widowmaker
Wihtstan's Guard	Whitstan's Guard
Wildhunt	Wildhunt
Wilhelm's Pride	Wilhelm's Pride
Willhelm's Pride	Willhelm's Pride
Wind	Wind
Wind Runner	Wind Runner
WindQ	Wind
Windforce	Windforce
Windhammer	Windhammer
Windstrike	Windstrike
Windwall	Windwall
Wing of the Dragon God	Wing of the Dragon God
Winged Death	Darkwing
WingedNightmare	Winged Nightmare
Wingow	Stained Glass Window
Wings	Wings
WinterAvatarSplain	Enemies Closer to the Avatar Receive More Damage
Wintermute	Wintermute
Wisdom's Wrap	Wisdom's Wrap
Wishmaster	Wishmaster
Wisp	Wisp Projector
Witch Doctor Endugu	Witch Doctor Endugu
Witch Drum	Witch Drum
Witch-hunter's	Witch-hunter's
WitchQ	Witch
Witchbane	Witchbane
Witchcraft	Witchcraft
WitchmoonX	Witchmoon
Witherstring	Witherstring
Wizardspike	Wizardspike
Wizendraw	Wizendraw
Wodziwob	Wodziwob
Woestave	Woestave
Wolf	Wolf
WolfCompanion	Wolf Companion
WolfHeadSU3	Predator's Trophy
WolfRider1	Fallen Wolfrider
WolfRider2	Carver Wolfrider
WolfRider3	Devilkin Wolfrider
WolfRider4	Darkone Wolfrider
WolfRider5	Warped Fallen Wolfrider
Wolfhowl	Wolfhowl
Wolfpack	Wolfpack
Wolfsangel	Wolfsangel
WolverineSkin	Wolverine Skin
World Nexus	World Nexus
WorldKiller	Blood Maggot
WorldKillerEgg	Blood Maggot Egg
WorldKillerQueen	Blood Maggot Queen
WorldKillerYoung	Blood Maggot Young
Worldstone Orb	(Barbarian Challenge Item)\nWorldstone Orb
Worldstone Shard	Worldstone Shard
Wormskull	Wormskull
Wormtongue	Wormtongue
Wotansvolk	Wotansvolk
WrackedSoul	Wracked Soul
Wraith	Wraith
Wraithfang	Wraithfang
Wraithflight	Wraith Flight
Wraithra	Wraith
Wrap	Wrap
Wrath	Wrath
Wrath of Cain	Wrath of Cain
Wrathchild4	Wrathchild
Wretched Sands	Wretched Sands
WristBladeSU3	Dragonfish
Wyand Voidfinger	Wyand Voidbringer
Wyand's Fervor	Wyand's Fervor
WycBoss1	Skinrender
WycBoss2	Spinecracker
WycBoss3	Eyegouger
WycBoss4	Fleshcutter
WycBoss5	Bonehexer
Wyrdwolf1	Tenebral
Wyrdwolf2	Wyrdhyena
Wyrm's	Wyrm's
Wyrm2	Wyrm
Wyvern's Head	Wyvern's Head
X	By logging on to Battle.net, you are certifying that you have read and agree to its current Terms of Service
XBloodTide	Blood Tide Totem
XDFury	Death's Fury Totem
XDeadWall	Dead Wall Totem
XDevilsFang	Devil's Fang Totem
XElemeTotem	Elemental Totem
XExplodeTotem	Exploding Totem
XFirehearT	Fireheart Totem
XHowlTotem	Howling Totem
XManaTide	Mana Tide Totem
Xazax	Xazax
Xenos	Xenos
Xepera Xeper Xeperu	Xepera Xeper Xeperu
Xfearbomb	Fear Bomb Totem
Xfrostclaw	Frostclaw Totem
Xorine's Cane	Xorine's Cane
XorinesRing	Xorine's Ring
Xstormeye	Stormeye Totem
Xtalline2	Crystalline Flame Medallion
XtallineFlameMedaillon	Crystalline Flame Medallion
Yaggai's Sagaris	Yaggai's Sagaris
Yelling	Yelling
Yeti	Yeti
Yourparty	In your party
Ysh1	Arcane Seal
Ysh2	Necklace
Ysh3	Mystical Blade
Ysh4	Mage's Plate
Ysh5	Divine Guard
Ysh6	Sorcerer's Mask
Ysh7	Mana Belt
Ysh8	Warkeepers
Ysh9	Winged Feet
Yshari Sanctum	Yshari Sanctum
ZOMGZakarum	Zakarum's Avatar
ZakQ	Zakarum
Zakarum Stoning Rock	Zakarum Stoning Rock
Zakarum's Hand	Zakarum's Hand
Zakarum's Salvation	Zakarum's Salvation
ZakarumFigure	Zakarum Figure
Zakarumite	Zakarumite
ZakarumsEar	Zakarum's Ear
Zakrum's Hand	Zakarum's Hand
ZannEsuStone	Zann Esu's Stone
ZannProdigy	Zann Prodigy
ZaylsTemptation	Zayl's Temptation
Zealot	Zealot
Zealot Rush	Zealot Rush
Zen	Zen
Zerae's Veil	Zerae's Veil
ZeraesBlessing	Zerae's Blessing
ZeraesHolyWrath	Zerae's Holy Wrath
ZeraesRedemption	Zerae's Redemption
ZeraesRefinement	Zerae's Refinement
ZeraesVindication	Zerae's Vindication
Zhar the Mad	Zhar the Mad
Zircon	Zircon
Zodiac	Zodiac
Zohar	Zohar
Zoltun Kulle	Zoltun Kulle
Zombie	Zombie
ZularKhansTempest	Zular Khan's Tempest
\\1	\purple;Great Rainbow Stone
\\2	\purple;Great Skull
\\3	\purple;Great Topaz
\\4	\purple;Great Saphire
\\5	\purple;Great Ruby
\\6	\orange;Mythic Cycle
\\7	\grey;Quest Item\n\gold;Tome of Possession
\\8	Corrupted Wormhole
a trap	a Trap
a55	Optical Detector
a56	Azmodan's Heart
a57	Visions of Akarat
a58	Scroll of Kings
a59	Laser Focus Crystal
a60	The Butcher's Tooth
a61	Sacred Worldstone Key
a66	Idol of Vanity
a67	Congratulations. You got it!\n\gold;Spirit of Damnation
a68	Horazon's Focus
aar	Ancient Armor
ab!	Astrogha's Venom Stinger
abu	Do Not Use Ethereal Items Idiot
act1	Act 1
act1X	THE SISTER'S LAMENT
act2	Act 2
act2X	DESERT JOURNEY
act3	Act 3
act3X	MEPHISTO'S JUNGLE
act4	Act 4
act4X	ENTER HELL
act5X	SEARCH FOR BAAL
adi	By Richard Knaak\nLegacy of Blood
aegis	Aegis
alkor	Alkor
am1	Stag Bow
am2	Reflex Bow
am3	Maiden Spear
am4	Maiden Pike
am5	Maiden Javelin
am6	Ashwood Bow
am7	Ceremonial Bow
am8	Ceremonial Spear
am9	Ceremonial Pike
ama	Ceremonial Javelin
amb	Matriarchal Bow
amc	Grand Matron Bow
amd	Matriarchal Spear
ame	Matriarchal Pike
amf	Matriarchal Javelin
amu	Amulet
ancientsaltar	Altar of the Heavens
animated skulland rockpile	Skulls and Rocks
animatedskullsandrocks	Skulls and Rocks
aq!	Silver Seal of Ureh
aqv	Arrow Quiver
as1	Wraps
as2	Knuckles
as3	Slashers
as4	Splay
as5	Hook
as6	Shank
as7	Claws
asheara	Asheara
ass	Right Click to learn skill of your choice\nBook of Skill
assassinstr	Assassin
automapdif	Difficulty: %s
automapgame	Game: 
automappw	Password: 
axe	Axe
axf	Hatchet Hands
az!	Fool's Gold
b@b	\red;Goodberry
ba1	Jawbone Cap
ba2	Fanged Helm
ba3	Horned Helm
ba4	Assault Helmet
ba5	Avenger Guard
ba6	Jawbone Visor
ba7	Lion Helm
ba8	Rage Mask
ba9	Savage Helmet
baa	Slayer Guard
bab	Carnage Helm
bac	Fury Visor
bad	Destroyer Helm
badge	Badge
bae	Conqueror Crown
baf	Guardian Crown
bag	Bag
bal	Balanced Axe
band	Band
bank	Your Private Stash
banner 1	Banner
banner 2	Banner
banner1	Banner
banner2	Banner
bar	Bardiche
barRI	Bar
barb	Barb
barrel wilderness	Barrel
barrelX	Barrel
basket	Basket
bax	Broad Axe
bbb	Lam Esen's Tome
beads	Beads
bed	Bed
bender	Bender
bhm	Bone Helm
bite	Bite
biteUM	Bite
bkd	Key to the Cairn Stones
bkf	Balanced Knife
bks	Scroll of Inifuss
blazer	Blazer
bld	Blade
blister	Blister
blow	Blow
bludgeon	Bludgeon
body	Body
bolt	Bolt
bookshelf	Bookshelf
bowl	Bowl
box	Horadric Cube
boxX	Box
brach_penitent	Penitent
branch	Branch
brand	Brand
brc1	Black Road Challenge\n\orange;Scroll of Fear
brc2	Black Road Challenge\n\orange;Scroll of Greed
brc3	Black Road Challenge\n\orange;Scroll of Contrition
brc4	Black Road Challenge\n\orange;Scroll of Knowledge
brc5	Black Road Challenge\n\orange;Scroll of Blood
brc6	Black Road Challenge\n\orange;Scroll of Completion
break	Break
breaker	Breaker
brn	Brandistock
brow	Brow
browUM	Brow
brs	Breast Plate
brx	\red;Scroll of Kabraxis
brz	Brain
bsd	Broad Sword
bsh	Bone Shield
bst	Battle Staff
bsw	Bastard Sword
btl	Blade Talons
btx	Battle Axe
buc	Buckler
buckle	Buckle
burialchestL	Burial Chest
burialchestR	Burial Chest
burn	Burn
burning body	Burning Body
burningbodies	Pyre of Flesh
burningpit	Burning Pit
bwn	Bone Wand
bxa	Soul of Kabraxis
c@c	(Sorceress Only)\n\red;Moon Symbol
cagedwussie1	Cage
call	Call
callUM	Call
cancel	CANCEL
candles	Candles
cap	Cap
carapace	Carapace
casket	Casket
casque	Casque
cbw	Composite Bow
ces	Cestus
cfgCtrl	Configure Controls
chain	Chain
champberserkX	Berserker
champfanaticX	Fanatic
champghostlyX	Ghostly
champpossessedX	Possessed
chan	Chandelier
chant	Chant
charavghit	Average chance to hit
charmX	Charm
charmonster	level %d monster: %d%%
charmonsterX	%s: %d%%
charmontohit1	Average chance a level %d
charmontohit1X	Strength Damage Bonus:
charmontohit2	average chance %s will hit you: %d%%
charmontohit2X	Dexterity Damage Bonus:
chatmsg1	 whispers: 
chatmsg2	 shouts: 
chatmsg3	 )
chest	Chest
chestR	Chest
chestr	Chest
chn	Chain Mail
ci0	Circlet
ci1	Coronet
ci2	Tiara
ci3	Diadem
circle	Circle
circlet	Circlet
clasp	Clasp
claw	Claw
clawUM	Claw
clb	Club
cleaver	Cleaver
clientsmoke	Smoke
clm	Claymore
cloak	Cloak
close	close
cloud	Cloud
clutches	Clutches
clw	Claws
cm1	\orange;Cycle
cm2	\orange;Cycle
cm3	\orange;Cycle
coat	Coat
cocoon	Cocoon
cof_summongate	Dimensional Gate
coffin	Coffin
coil	Coil
collar	Collar
colon	:
colorcode	ÿc
compellingorb	Compelling Orb
convertsto	Right click to make
cord	Cord
corpse	Corpse
cost	Cost: 
cowa	Cow
cowl	Cowl
cqv	Bolt Quiver
crack	Crack
crawler	Crawler
createdguildfailure	
createdguildsuccess	
crest	Crest
crn	Crown
crook	Crook
crow	Crow
crs	Crystal Sword
crusher	Crusher
cry	Cry
cst	Gnarled Staff
cubewithsixangelbag	\blue;(-1 to -5)% to Enemy Elemental Resistances\n3% Chance of Crushing Blow\n(-5 to 5) to Light Radius\n\grey;Cube with Six Angel Bag to Add Bonus\n\nCube Reagent
cudgel	Cudgel
customize_charm_yeah	unused
cyc	\orange;Cycle
d33	Decoy Gidbinn
dancer	Dancer
darkwanderer	Dark Wanderer
dart	Dart
dash	-
david1	\blue;+1 Required Level\n+(2 to 8) to Strength\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david10	\blue;+5 Required Level\n+(10 to 20) to Dexterity\n+(2 to 3)% to Dexterity\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david11	\blue;+5 Required Level\n+(10 to 20) to Vitality\n+(2 to 3)% to Vitality\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david12	\blue;+5 Required Level\n+(10 to 20) to Energy\n+(2 to 3)% to Energy\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david13	\blue;+2 Required Level\n+(1 to 4)% Gold Find\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david14	\blue;+3 Required Level\n+(3 to 7)% Gold Find\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david15	\blue;+4 Required Level\n+(6 to 10)% Gold Find\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david16	\blue;+2 Required Level\n+(1 to 4)% Magic Find\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david17	\blue;+3 Required Level\n+(3 to 7)% Magic Find\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david18	\blue;+4 Required Level\n+(6 to 10)% Magic Find\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david19	\blue;+2 Required Level\n+(1 to 3)% Combat Speeds\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david2	\blue;+1 Required Level\n+(2 to 8) to Dexterity\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david20	\blue;+3 Required Level\n+(2 to 6)% Combat Speeds\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david21	\blue;+4 Required Level\n+(4 to 8)% Combat Speeds\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david22	\blue;+18 Required Level\n-5 to All Attributes\n+1 to Amazon Skill Levels\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david23	\blue;+18 Required Level\n-5 to All Attributes\n+1 to Assassin Skill Levels\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david24	\blue;+18 Required Level\n-5 to All Attributes\n+1 to Barbarian Skill Levels\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david25	\blue;+18 Required Level\n-5 to All Attributes\n+1 to Druid Skill Levels\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
david26	\blue;+18 Required Level\n-5 to All Attributes\n+1 to Necromancer Skill Levels\n\grey;Cube With Corrupted Wormhole to Add Bonus\n\nCube Reagent
