skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	* Marco / counter	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
hornedgod	0	0	0	0	0	1.B9 NEW ROW	0	SkillnameHornedGod	SkillsdHornedGod	SkillsdHornedGod	SkillnameHornedGod	StrSkill3																	1					35	DescSummonDmgMag		((1+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	((6+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	3	DescPainless	DescHitPointz	((1+(pst1/256))*(100+clc1))/100																											18	DescHornedList				18	DescItemSkill																																							0
javelinnova	0	0	0	0	0	1.B9 NEW ROW	0	SkillnameJavelinNova	SkillsdSecret	SkillsdSecret	SkillnameJavelinNova																																																																																																							0
fireboltnova	0	0	0	0	0	1.B9 NEW ROW	0	SkillnameFireboltNova	SkillsdSecret	SkillsdSecret	SkillnameFireboltNova																																																																																																							0
holytrap	0	0	0	0	0	1.B9 MOVED ROW	0	SkillnameDivTrap	SkillsdDivTrap	SkillsdDivTrap	SkillnameDivTrap	StrSkill3	9													holytrapflames			1										29					27																				12	StrSkill20		125		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameDivTrap	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
firefountain	0	0	0	0	0	1.B9 MOVED ROW	0	SkillnameFireFountain	SkillsdFireFountain	SkillsdFireFountain	SkillnameFireFountain	StrSkill3	5																1					7	DescSpikes		25+((lvl-1)*1)		10																									12	DescTrapDur		200		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameFireFountain	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
rainofbombs	0	0	0	0	0	1.B9 MOVED ROW	0	SkillnameBoomKaboom	SkillsdBoomKaboom	SkillsdBoomKaboom	SkillnameBoomKaboom	StrSkill3	5																1					11					10					9					8															7	DescBombs		20		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameBoomKaboom	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
cowdisguise	0	0	0	0	0	1.B9 NEW ROW	0	SkillnameCowDisguise	SkillsdSecret	SkillsdSecret	SkillnameCowDisguise																																																																																																							0
titanstrike	0	0	0	0	0	1.E9 MOVED ROW	12	SkillnameTitanStrike	SkillsdTitanStrike	SkillsdTitanStrike	SkillnameTitanStrike	StrSkill3	7	clc1											1				1					12	DescRegenAll		1060-(dm78*4)		2	StrSkill21	StrSkill23	ln34		2	StrSkill4	DescPctToAtt	clc1												12	StrSkill20		(250*(100+stat('profession_duration_mod'.accr)))/100		2	DescStrDexAM	StrSkill23	25		18	DescBlankAtts				18	DescItemSkill																																							0
rockshock	0	0	0	0	0	1.E9 NEW SKILL	0	SkillnameRockShock	SkillsdRockShock	SkillsdRockShock	SkillnameRockShock	StrSkill3	5												1				1					6	DescStopReadingThis		edmx																											3	DescAttackUpToN	DescTarge	3		18	DescBlankDmgAerialStr				18	DescItemSkill																																							0
ohman	0	0	0	0	0	1.E9 NEW SKILL	0	SkillnameOHMAN	SkillsdOHMAN	SkillsdOHMAN	SkillnameOHMAN	StrSkill3	5												1				1																														73	WeapDamsk		1	4	12	DescDelayZ		40		18	DescBlank				18	DescItemSkill																																							0
dragonshot	0	0	0	0	0	FUCK THIS	0	SkillnameDragonShot	SkillsdDragonShot	SkillsdDragonShot	SkillnameDragonShot	StrSkill3	5																1					18	DescMultiHits				6	DescStopReadingThis		edmx																											18	DescBlank84				18	DescItemSkill																																							0
unholyarmor	0	0	0	0	0		0	SkillnameUnholyArmor	SkillsdUnholyArmor	SkillsdUnholyArmor	SkillnameUnholyArmor	StrSkill3																	1					12	StrSkill20		"min((((((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1))),par3)"																											12	DescDelayZ		par5		18	DescBlankBenecast				18	DescItemSkill																																							0
manatidetotem	0	0	0	0	0		0	SkillnameLoaTotem	SkillsdLoaTotem	SkillsdLoaTotem	SkillanMMT	StrSkill3																	1					2	DescManaTideTide	StrSkill23	ln34		3	DescPainless	DescHitPointz	((5+ln12)*(100+clc1))/100																						5	DescYouCanHave		4+stat('new_totem_syn'.accr)		18	DescBlank				18	DescItemSkill																																							0
elementaltotem	0	0	0	0	0		0	SkillnameElemTotem	SkillsdElemTotem	SkillsdElemTotem	SkillnameElemTotem	StrSkill3																	1					2	DescElemT	StrSkill23	ln34		3	DescPainless	DescHitPointz	((5+ln12)*(100+clc1))/100																						5	DescYouCanHave		4+stat('new_totem_syn'.accr)		18	DescBlank				18	DescItemSkill																																							0
totemboundguardian	0	0	0	0	0		0	SkillnameGuardianTotem	SkillsdGuardianTotem	SkillsdGuardianTotem	SkillanTBGuard	StrSkill3																	1					35	DescSummonDmg		((1+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	((6+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	3	DescPainless	DescHitPointz	((1+(pst1/256))*(100+clc1))/100																	3	DescTotemboundNr	DescWhenAtTotem	"max(((min((lvl+1),10))+stat('passive_aura_addmax'.accr)),0)"		5	DescTotemboundNr		1+stat('passive_aura_addmax'.accr)		18	DescTBTextParade				18	DescItemSkill																																							0
bloodlust	0	0	0	0	0		19	SkillnameBloodlust	SkillsdBloodlust	SkillsdBloodlust	SkillnameBloodlust	StrSkill3																	1					12	StrSkill20		(ln78*(100+stat('profession_duration_mod'.accr)))/100		2	DescDmgMPH	StrSkill23	((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3		2	StrSkill75	StrSkill23	(((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3)+stat('passive_bloodlust_elempct'.accr)		2	StrSkill4	StrSkill23	(((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1)+stat('passive_bloodlust_dmgpct'.accr)																						18	DescItemSkill																																							0
novabomb	0	0	0	0	0		0	SkillnameNovaBomb	SkillsdNovaBomb	SkillsdNovaBomb	SkillnameNovaBomb	StrSkill3	5																1					10																									18	DescMultiHits				12	DescTimeBomb		50		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameNovaBomb	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
immolationbomb	0	0	0	0	0		0	SkillnameImmoBomb	SkillsdImmoBomb	SkillsdImmoBomb	SkillnameImmoBomb	StrSkill3	5																1					10																									7	DescFireballs		32		12	DescTimeBomb		50		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameImmoBomb	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
starfire	0	0	0	0	0		0	SkillnameNew3Starfire	SkillsdSecret	SkillsdSecret	SkillnameNew3Starfire																																																															18	DescItemSkill																																							0
hailstorm	0	0	0	0	0		0	SkillnameLetItSnow	SkillsdLetItSnow	SkillsdLetItSnow	SkillanLetItSnow	StrSkill3	5																1					10																														12	StrSkill20		250		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameLetItSnow	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
lightningarena	0	0	0	0	0		0	SkillnameLArena	SkillsdLArena	SkillsdLArena	SkillnameLArena	StrSkill3	5																1					12	StrSkill20		(ln56*(100+stat('profession_duration_mod'.accr)))/100		11					10					9					8										18	DescWelcomeToThe				18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameLArena	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
blacklotusstrike	0	0	0	0	0	new skill	0	SkillnameBlackLotus	SkillsdBlackLotus	SkillsdBlackLotus	SkillanBL	StrSkill3	5												1				1					14																																								18	DescItemSkill				40	Sksyn	SkillnameBlackLotus	4		65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
deathblossom	0	0	0	0	0	new skill	0	SkillnameBlossom	SkillsdBlossom	SkillsdBlossom	SkillanBlossom	StrSkill3	5												1				1					10																																								18	DescItemSkill				40	Sksyn	SkillnameBlossom	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
punisher	0	0	0	0	0		0	SkillnamePunish	SkillsdPunish	SkillsdPunish	SkillnamePunish	StrSkill3	5																1					14					12	DescDelayZ		"max((135-(((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1)),0)"																						3	DescPunishzors	DescBlank	clc1		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnamePunish	4		65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
wrath	0	0	0	0	0		0	SkillnameWrath	SkillsdWrath	SkillsdWrath	SkillnameWrath	StrSkill3	5																1					10					9																									7	DescFireballs		16		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameWrath	4		65	strchrenghard	DescPhFSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
innatebloodlust	0	0	0	0	0	amazon innate	18	SkillnameBloodlust	SkillsdBloodlust	SkillsdBloodlust	SkillnameBloodlust	StrSkill3																	1					12	StrSkill20		((par7+(ulvl*50))*(100+stat('profession_duration_mod'.accr)))/100		2	DescDmgMPH	StrSkill23	10		2	StrSkill75	StrSkill23	10+stat('passive_bloodlust_elempct'.accr)		2	StrSkill4	StrSkill23	15+stat('passive_bloodlust_dmgpct'.accr)																						18	DescInnateSkill																																							0
innatebloodbath	0	0	0	0	0	assassin innate	20	SkillnameBloodbath	SkillsdBloodbath2	SkillsdBloodbath2	SkillnameBloodbath	StrSkill3	7	clc1											1				1					12	StrSkill20		((par7+skill('Shadow Dancer'.blvl)*5)*(100+stat('profession_duration_mod'.accr)))/100		18	BloodbathDescLong																																		18	DescInnateSkill																																							0
innatestrike	0	0	0	0	0	barbarian innate	13	SkillnameTitanStrike	SkillsdTitanStrike	SkillsdTitanStrike	SkillnameTitanStrike	StrSkill3	7	clc1											1				1					12	StrSkill20		((250+ulvl)*(100+stat('profession_duration_mod'.accr)))/100		12	DescRegenAll		1000		2	StrSkill21	StrSkill23	10		2	DescStrDexAM	StrSkill23	25		18	DescInnateTitanAtt																			18	DescInnateSkill																																							0
inmotw	0	0	0	0	0	druid innate	14	SkillnameMOTW	SkillsdMOTW	SkillsdMOTW	SkillanMOTW	StrSkill3																	1					12	StrSkill20		((par7+(stat('strength'.base)*5))*(100+stat('profession_duration_mod'.accr))*(100+stat('passive_motw_duration'.accr)))/10000		2	StrSkill75	StrSkill23	10+stat('passive_motw_elempct'.accr)		2	StrSkill4	StrSkill23	20+stat('passive_motw_dmgpct'.accr)		2	StrSkill106	StrSkill23	par1																						18	DescInnateSkill																																							0
innatearmor	0	0	0	0	0	necromancer innate	16	SkillnameUnholyArmor	SkillsdUnholyArmor	SkillsdUnholyArmor	SkillnameUnholyArmor	StrSkill3																	1					12	StrSkill20		50+ulvl		12	DescDelayZ		par5																																18	DescInnateSkill																																							0
vindicate	0	0	0	0	0	paladin innate	17	SkillnameVindicate	SkillsdVindicate	SkillsdVindicate	SkillnameVindicate	StrSkill3																	1					12	DescCurseDur3		(par3*(100+stat('profession_duration_mod'.accr)))/100		18	DescWhenCursedDiesVI				12	StrSkill20		250		12	DescRegenAll		1000-(ulvl*5)		2	StrSkill4	StrSkill23	50+(ulvl*2)+stat('passive_vindicate_adddmg'.accr)																	18	DescInnateSkill																																							0
innatestarfire	0	0	0	0	0	sorceressinnate	21	SkillnameRiftwalk	SkillsdRiftwalk	SkillsdRiftwalk	SkillnameRiftwalk																																																																																																							0
gammafield	0	0	0	0	0		0	SkillnameGammaField	SkillsdGammaField	SkillsdGammaField	SkillnameGammaField	StrSkill3	5																1					14																									3	DescHits	DescTimes	8		12	StrSkill20		250		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameGammaField	4		65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"		18	DescItsNotRocketSciGuys																			0
icelance	0	0	0	0	0	1.B9 PEWPEW DESC	0	SkillnameIceLance	SkillsdIceLance	SkillsdIceLance	SkillnameIceLance	StrSkill3	5																1					12	StrSkill62		edln		10																																			18	DescItemSkill				40	Sksyn	SkillnameIceLance	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
diseasedcattle	0	0	0	0	0		0	SkillnameBovineIntervention	SkillsdBovineIntervention	SkillsdBovineIntervention	SkillanBovI	StrSkill3	5																1					14																														7	DescCowz		par1		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameBovineIntervention	4		65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
innatedetonate	0	0	0	0	0	sorceressinnate	21	SkillnameVoidDetonate	SkillsdVoidDetonate	SkillsdVoidDetonate	SkillnameVoidDetonate		5																																																																																																					0
krakenstance	0	0	0	0	0		0	SkillnameKrakenStance	SkillsdKrakenStance	SkillsdKrakenStance	SkillnameKrakenStance	StrSkill3																	1					38	DescKrak	DescOverAllElem	(edmn*(100+(2*skill('DSK'.pst5))))/100	(edmx*(100+(2*skill('DSK'.pst5))))/100																															18	DescItemSkill				18	DescMultiplier																																							0
sealoffire	0	0	0	0	0		0	SkillnameSealOfFire	SkillsdSealOfFire	SkillsdSealOfFire	SkillnameSealOfFire	StrSkill3	5																1					19	DescActiveRadius		"min((max(ln12,3)),par3)"		10																									12	DescTrapDur2		125		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameSealOfFire	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min((stat('energy'.accr)*stat('enr_factor'.accr)/15000),200))"																						0
innateforcewall	0	0	0	0	0	sorceressinnate	22	SkillnameForceWall	SkillsdForceWall	SkillsdForceWall	SkillnameForceWall	StrSkill3																	1					12	StrSkill20		60		12	DescDelayZ		"max((200-(ulvl*4)),0)"																																18	DescInnateSkill																																							0
innatepainwall	0	0	0	0	0	necromancer innate	23	SkillnamePainWall	SkillsdPainWall	SkillsdPainWall	SkillnamePainWall	StrSkill3																	1					12	DescWallDuration		100		12	DescEnrageDuration		(par7+(ulvl*10))*((100+stat('profession_duration_mod'.accr))/100)		2	DescDmgMPH	StrSkill23	20+ulvl		2	StrSkill75	StrSkill23	20+ulvl		2	StrSkill4	StrSkill23	40+ulvl																	18	DescInnateSkill																																							0
monsterrain	0	0	0	0	0		24	SkillnameMonsterRain	SkillsdSecret	SkillsdSecret	SkillnameMonsterRain	StrSkill3																																																														18	DescItemSkill																																							0
specialstatlevelup	0	0	0	0	0		0	SkillnameStatLevelUp	SkillsdSecret	SkillsdSecret	SkillnameStatLevelUp	StrSkill3																																																														18	DescItemSkill																																							0
hounfor	0	0	0	0	0		0	SkillnameHounfor	SkillsdHounfor	SkillsdHounfor	SkillnameHounfor	StrSkill3	5																																																			18	DescHounforStack				18	DescBlank				18	DescItemSkill																																							0
hadesgate	1	5	3	1	0		6	SkillnameHadesGate	SkillsdHadesGate	SkillsdHadesGate	SkillnameHadesGate	StrSkill3	5																1					19	StrSkill56		(25*(8+lvl))/32																						12	DescDelayZ		(blvl > 0) ? (700/(blvl+4)+10) : 150		73	WeapDamsk		3	4	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-24)/6)),18)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameHadesGate	4		65	DescSelf	DescASTRtimerSyn			18	DescSelfSynergy																								0
darknessfalls	0	0	0	0	0		0	SkillnameDarknessFalls	SkillsdSecret	SkillsdSecret	SkillnameDarknessFalls																																																															18	DescItemSkill																																							0
shunpo	0	0	0	0	0		0	SkillnameShunpo	SkillsdShunpo	SkillsdShunpo	SkillnameShunpo	StrSkill3	5												1				1					3	DescBonusMagDmg	DescNephalemDex	lvl*50																						18	DescShunpoEffect				73	WeapDamsk		3	4	18	DescBlank				18	DescItemSkill																																							0
cryobeam	0	0	0	0	0	1.B9 NEW SKILL	0	SkillnameCryoBeam	SkillsdCryoBeam	SkillsdCryoBeam	SkillnameCryoBeam	StrSkill3	5																1					12	StrSkill62		edln		10																									18	DescCryoPhysCrit				18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameCryoBeam	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
backfire	0	0	0	0	0	FIRE	0	SkillnameBackfire	SkillsdSecret	SkillsdSecret	SkillnameBackfire	StrSkill3	5																1					10																														18	DescBetaPierce				18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameBackfire	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
phoenixwave	0	0	0	0	0	FIRE	0	SkillnamePhoenixWave	SkillsdPhoenixWave	SkillsdPhoenixWave	SkillnamePhoenixWave	StrSkill3	5																1					10																																								18	DescItemSkill				40	Sksyn	SkillnamePhoenixWave	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
splitfire	0	0	0	0	0	FIRE	0	SkillnameSplitfire	SkillsdSplitFire	SkillsdSplitFire	SkillnameSplitfire	StrSkill3	5																1					10																																								18	DescItemSkill				40	Sksyn	SkillnameSplitfire	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
newstaticspike	0	0	0	0	0	LTNG	0	SkillnameStaticNewSpike	SkillsdStaticNewSpike	SkillsdStaticNewSpike	SkillnameStaticNewSpike	StrSkill3	5																1					10																														18	DescStaticNewSpike				18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameStaticNewSpike	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
stormfront	0	0	0	0	0	LTNG	0	SkillnameStormfront2	SkillsdStormfront	SkillsdStormfront	SkillnameStormfront2	StrSkill3	5																1					10																														18	DescStormfront				18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameStormfront2	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
ionchannel	0	0	0	0	0	LTNG	0	SkillnameIonChanneled	SkillsdSecret	SkillsdSecret	SkillnameIonChanneled	StrSkill3	5																1					10																																								18	DescItemSkill				40	Sksyn	SkillnameIonChanneled	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
avalanche	0	0	0	0	0	COLD	0	SkillnameAvalanched	SkillsdAvalanched	SkillsdAvalanched	SkillnameAvalanched	StrSkill3	5																1					10																																								18	DescItemSkill				40	Sksyn	SkillnameAvalanched	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
churel	0	0	0	0	0	COLD	0	SkillnameChurel	SkillsdChurel	SkillsdChurel	SkillnameChurel	StrSkill3	5																1					10																														18	DescChurel									18	DescItemSkill				40	Sksyn	SkillnameChurel	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
devouringacid	0	0	0	0	0	PSN	0	SkillnameDevouringAcid	SkillsdDevouringAcid	SkillsdDevouringAcid	SkillnameDevouringAcid	StrSkill3	5																1					14																														18	DescDevouringAcid				18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameDevouringAcid	4		65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
emeraldprison	0	0	0	0	0	PSN	0	SkillnameEmeraldPrison	SkillsdEmeraldPrison	SkillsdEmeraldPrison	SkillnameEmeraldPrison	StrSkill3	5																1					14																														18	DescEmeraldPrison				18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameEmeraldPrison	4		65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
timewave	0	0	0	0	0	PHYS WDM	0	SkillnameAftershocked	SkillsdAftershocked	SkillsdAftershocked	SkillnameAftershocked	StrSkill3	5												1				1																														12	DescTimeBomb		75		73	WeapDamsk		3	4	18	DescBlank				18	DescItemSkill						SkillnameAftershocked																																	0
char_slicerblade	0	0	0	0	0	PHYS WDM	0	SkillnameSlicer2Blade	SkillsdSlicer2Blade	SkillsdSlicer2Blade	SkillnameSlicer2Blade	StrSkill3	5												1				1																														12	StrSkill20		125		73	WeapDamsk		1	2	18	DescBlank				18	DescItemSkill						SkillnameSlicer2Blade																																	0
whammy	0	0	0	0	0	PHYS WDM	0	SkillnameTheWhammy	SkillsdSecret	SkillsdSecret	SkillnameTheWhammy	StrSkill3	5																1																																			73	WeapDamsk		3	4	18	DescBlank				18	DescItemSkill						SkillnameTheWhammy																																	0
psicrown	0	0	0	0	0	MANA	0	SkillnamePsicrown	SkillsdPsicrown	SkillsdPsicrown	SkillnamePsicrown	StrSkill3	5																1					38	DescPsiFirst	DescPerHardEnPsi	lvl	lvl+2																																				18	DescItemSkill						SkillnamePsicrown																																	0
elementalfury	0	0	0	0	0	new skill	0	SkillnameMFlare	SkillsdMFlare2	SkillsdMFlare	SkillanMFlare	StrSkill3																	1					2	StrSkill70	StrSkill23	"min(ln78,par4)"		2	DescAdds	DescFaCaRa	"min(ln56,par3)"																						12	StrSkill20		(par1*(100+stat('profession_duration_mod'.accr)))/100		18	DescBlankBeneGain				18	DescItemSkill																																							0
