skill	Id	charclass	skilldesc	* filter	srvstfunc	srvdofunc	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	cltstfunc	cltdofunc	cltprgfunc1	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	aura	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	perdelay	aurastat1	AuraStatParam1	aurastatcalc1	aurastat2	AuraStatParam2	aurastatcalc2	aurastat3	AuraStatParam3	aurastatcalc3	aurastat4	AuraStatParam4	aurastatcalc4	aurastat5	AuraStatParam5	aurastatcalc5	aurastat6	AuraStatParam6	aurastatcalc6	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	HitShift	SrcDam	StaticDamage	BaseSynergy	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	delay	DelayGroup	stsuccessonly	stsound	ItemCastSound	stsoundclass	castoverlay	ItemCastOverlay	passive	passivestate	passivestat1	PassiveStatParam1	passivecalc1	passivestat2	PassiveStatParam2	passivecalc2	passivestat3	PassiveStatParam3	passivecalc3	passivestat4	PassiveStatParam4	passivecalc4	passivestat5	PassiveStatParam5	passivecalc5	passiveitype	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	anim	seqtrans	monanim	seqnum	seqinput	minmana	manashift	mana	lvlmana	skpoints	reqlevel	maxlvl	reqskill1	leftskill	interrupt	immediate	attackrank	InTown	AttackNoMana	finishing	progressive	restrict	State1	State2	State3	ItemEffect	ItemCltEffect	ItemTgtDo	ToHit	LevToHit	ToHitCalc	LineOfSight	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	TgtPlaceCheck	InGame	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	srvoverlay	cltoverlaya	cltoverlayb	nocostinstate	usemanaondo	startmana	reqstr	reqdex	reqint	reqvit	reqskill2	reqskill3	periodic	ResultFlags	HitFlags	HitClass	Kick	itypeb2	itypeb3	etypeb1	etypeb2	noammo	cltprgfunc2	cltprgfunc3	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	aitype	aibonus	durability	repeat	checkfunc	stsounddelay	ItemTarget	ItemCheckStart	ItemCltCheckStart	general	scroll	warp	enhanceable	TargetableOnly	SearchEnemyXY	UseAttackRate	cost mult	cost add
Psicrown	1037		psicrown	oSkill			psicrowncenter									psicrowncenter																																																					5		1															mag	100	100	100	100	100	100	300	100	100	100	100	100	(-100)+stat('energy'.base)							0		monster_poisonbolt			psicast																																						none								SC	SC	xx			0	7	50	52		-10	99			1		4									1						4		1							1																																																																			1					0
Nephalem Minion	1038		nephalemspirit	BAR - Subskill																																																																	8																																					0							1	passive_52	firemindam		lvl*(((stat('shamanic_dmg'.accr))/25)+(stat('shamanic_life'.accr)/50))	firemaxdam		lvl*((((stat('shamanic_dmg'.accr))*3)/50)+((stat('shamanic_life'.accr)*3)/100))	lightmindam		lvl*(((stat('shamanic_dmg'.accr))/25)+(stat('shamanic_life'.accr)/50))	lightmaxdam		lvl*((((stat('shamanic_dmg'.accr))*3)/50)+((stat('shamanic_life'.accr)*3)/100))																							none								SC	SC	xx				0	0	0	((skill('Runemaster'.blvl)+skill('Gladiators Dominance'.blvl))==0)?(((ulvl-90)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1):(stat('newskills'.accr)+1)	90	99			1		0					1																			1																																																																			1			1		0
Azmodan Corpse Spawn	1039			UQ - Azmodan		28				azmospawner	azmospawner	azmospawner		28			azmospawner																													1	number of targets																						8																																					0		paladin_aura_thorns	paladin_aura_thorns		hit_thorns	hit_thorns																																					none								SC	SC	SC				0	0	0		1	99		1	1		4									1						4		1							1																																																																			1					0
No Gfx Celerity	1040			UQ - Kabraxis		25																	pantherstaunt		(ln12*(100+stat('profession_duration_mod'.accr)))/100			item_fastermovevelocity		"min(ln34,200)"	item_cannotbefrozen		1																				250	duration	0	duration per level	50	speed bonus	15	speed bonus per level									8																																					0																																											none								SC	SC	xx				0	0	0		1	99			1		4									1											1	1			1																																																													1						1					0
Kabraxis Constant	1041			UQ - Kabraxis		124				kab_pewpewidol	kab_pewpewidol	kab_pewpewidol			92			kab_pewpewidol					lordjusticar		ln56	1		velocitypercent		50	item_cannotbefrozen		1													5	number of missiles												4	delay between attacks	9500	duration	950	duration per level					8				1000						1500																											0		kabraxis_skill_1	kabraxis_skill_1		braxis_haste	braxis_haste																																					none								SC	SC	xx			0	0	0	0		1	99			1		1	1								1															1									25		25		15																																																						1					0
Pacman Big Fear	1042			Special		22				pacman_fearnova				25			pacman_fearnova							terror				magicresist		-200																par1	velocity adder						0	velocity per level	99	player level + skill level + this	5	flee distance	0	flee distance per level	200	flee duration	0	flee duration per level					8																															200						0																																											none								SC	SC	xx			0	8	0	0		1	99			1		0									1															1									par1	velocity adder																																																		1							1			1		0
Skull Pillar Shield Aura	1043			UQ - Kabraxis		65															1	73731	braxishieldaura	braxishieldaura		ln12	10	damageresist		150	magicresist		150	fireresist		150	coldresist		150	lightresist		150	poisonresist		150								250	range	0	range per level													8																																					0																																											none										S1				0	0	0		1	99			1	1	6	1																							1																																																																			1					0
One Flamefront	1044			UQ - Kabraxis		8				flamefront				17			flamefront	flamefront																												1	# missiles	0	activation frame				1	missiles	0	missiles per level			1	synergy									8			1														fire	40	20	16	16	16	16	80	40	20	20	20	20								0		sorceress_cast_fire	sorceress_cast_fire		fire_cast_2																																						none								SC	SC	xx			0	0	0	0		1	99		1	1		1									1															1																																																																			1			1		0
Abyss Spell	1045			NEC - Subskill		28				abysskontrol	abysskontrol	abysskontrol		28			abysskontrol																																																				8																																					0		necromancer_poisonnova	necromancer_poisonnova																																								none								S1	S1	S1			0	7	0	0		1	99			1		4									1						4		1							1																																																																			1					0
Test Missile Skill	1046		monsterrain	Special			corruptedwyrmshot									corruptedwyrmshot																																																					8																																					0		monster_poisonbolt			psicast																																						none								SC	SC	xx			0	7	50	52		1	99			1		4									1						4		1							1																																																																			1					0
Wyrmshot New	1047		wyrmshot_x	oSkill			newbfgrealspawner									newbfgrealspawner																																																					8	48																																				0		sorceress_cast_fire	sorceress_cast_fire																																								rng		miss						A1	A1	xx			60	6	200	-2		1	99		1	1		4									1															1																																																											1								1			1		0
Pacman Turret Killer	1048			Special			pacman_turretcenter									pacman_turretcenter																																																					8																	mag	50000						50000													0																																											none								SC	SC	xx			0	7	60	12		1	99		1	1		2									1															1																																																																			1					0
Ultimative	1049		ultimative_skillX	oSKill																																																	30	armor %	15	armor % per level	10	avoidance	1	avoidance per level									8																																					0							1	passive_ultimativeX	passive_ultimative		1	skill_concentration		20	skill_armor_percent		100	item_maxhp_percent		5																							none								SC	SC	xx				0	0	0		1	99			1		0																								1																																																																			1			1		0
Kabraxis Spawn Minions	1050			UQ - Kabraxis		27	kab_minionspawnstarter									kab_minionspawnstarter										25																											0	stun length	0	stun length per level													8																																					0		kabraxis_skill_2	kabraxis_skill_2		bonecastoverlay	bonecastoverlay																																					none								SC	SC	xx			0	0	0	0		1	99			1		0									1		1													1																																																													2					1	1					0
UNUSED 1051	1051			Unused																																																																																																																																																																																																																																																																									0
Rogue Merclust	1052			Mercenary		25																	aura_14		90000			damageresist		ulvl/4	damagepercent		(stat('dexterity'.accr))/3	hpregen		stat('dexterity'.accr)*256	velocitypercent		100	passive_dodge		"min((stat('dexterity'.accr)/40),60)"																											8																																					0																																											none								SC	SC	xx				0	0	0		1	99			1		4									1											1	1			1																																																													1						1					0
Skyfall	1053		killbeam	UQ - Xazax		28				showercenterX	showercenterX	showercenterX		28			showercenterX																																																				6			1	68	16	8	8	8	8	78	24	9	9	9	9		fire	100	20	10	10	10	10	140	28	14	14	14	14							125	0		monster_cast_fire	monster_cast_fire		fire_cast_2							item_normaldamage		"min(edmx,4000)"																													none								SC	SC	xx			0	7	264	33		-10	99			1		4									1						4		1							1																																																																			1					0
Iceclaw Spawn Skeleton	1054			Monster		28				spawn_shadowself	spawn_shadowself	spawn_shadowself		28			spawn_shadowself																													1	number of targets										4	?																																																0					bloodcast	bloodcast																																					none								SC	SC	SC				0	0	0		1	99		1	1		4									1						4		1							1																																																																			1					0
Buyard Weaken	1055			UQ - Black Road		65															1	2	buyard_weaken	buyard_weaken		12	1	damageresist		-1000	magicresist		-1000	fireresist		-1000	coldresist		-1000	lightresist		-1000	poisonresist		-1000																								8																																					0																																											none										xx	5			0	0	0		1	99			1	1	1	1																							1																																																																			1					0
Buyard Center Skill	1056			UQ - Black Road		8				buyardalarm				17			buyardalarm	buyardalarm					justkilledenemy	justkilledenemy	75			baccha_on		1																stat('hounfor_active'.accr)	number of missiles	0	activation frame																				8																																					0																																											none								A1	A1	xx			0	7	0	0		1	99			1		1									1															1																																																																			1					0
Buyard Wall Spawn	1057			UQ - Black Road		8				buywallcenter				17			buywallcenter	buywallcenter																												stat('baccha_on'.accr)	number of missiles	0	activation frame																				8																																					0																																											none								A1	A1	xx			0	7	0	0		1	99			1		1									1															1																																																																			1					0
Judgement Opener	1058			UQ - Judgement Day			judgement_control									judgement_control																																																					8																																					0																																											none								SC	SC	xx			0	7	0	0		1	99			1		4									1															1																																																																			1					0
Judgement Heaven Flurry	1059			UQ - Judgement Day			judgement_flurrycenter									judgement_flurrycenter																																																					5			1														mag	48	16	8	8	8	8	84	28	14	14	14	14								0		assassin_bladefury_throw_1																																									none								A1	A1	A1			0	7	28	9		1	99		1	1		2									1															1																																																																			1			1		0
Spawn Edyrem Light	1060			UQ - Judgement Day			edy2summon									edy2summon																																																					8																																					0		monster_baal_taunt_1	monster_baal_taunt_1																																								none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1					0
Blood Skeleton Aura	1061			NEC - Subskill		65															1	73731	spookyspike	spookyspike		ln12	5	damagepercent		40+((lvl-1)*6)	item_crushingblow		4+lvl																				40	range	0	range per level													8																																					0																																											none										xx				0	0	0		1	99			1	1	8	1				1																			1																																																								1											1					0
Jinn Flamefront	1062		killbeam	NEC - Subskill		8				jinnflamefront				17			jinnflamefront	jinnflamefront																												lvl	number of missiles																						8	128																fire																				0		sorceress_cast_fire	sorceress_cast_fire																																								none								SC	SC	xx			0	0	0	0		1	99		1	1		1									1															1																																																																			1			1		0
Venomcloud Totem	1063		venomcloudtotem	oSkill		153							20	31			corpseexplosion						devilish					skill_totem_damage		lvl-1	passive_dodge		skill('Totemic Mastery'.clc1)	passive_avoid		skill('Totemic Mastery'.clc1)	statX_1		skill('Soulbond'.clc3)	state	399	skill('Soulbond'.clc2)	item_pierce		(10+blvl)+stat('item_pierce'.accr)	skill('Totemic Mastery'.clc2)	hp%	1	sum per cast				0	res1	0	res2	60	life bonus	0	life bonus per level	0	attack rating							3																	pois	25						50						"(((50+(10*min(ulvl,120)))*(100+((((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(skill('DSK 2'.pst2))))*(100+(11*(lvl-1))))/10000)-50"	50						0	1	druid_firecast_b	druid_firecast_b						passive1		lvl	item_restinpeace		skill('Soulbond'.clc2)	si_1		1										totemvenom	totemvenom	(stat('passivelockout'.accr)>12)?(0):(3+skill('Soulbond'.clc2))	A1	Soulbondism Venom Aura	skill('Soulbond'.blvl)											none								SC	SC	xx			0	7	30	30		1	99			1		0					1											1		2	1					1																																																								1											1					0
Totemic Poison Cloud	1064			oSkill			totemicpoison									totemicpoison																																																					3																	pois	8						16						"(((50+(10*min(ulvl,120)))*(100+((((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(skill('DSK 2'.pst2))))*(100+(11*stat('skill_totem_damage'.accr))))/10000)-50"	50						0																																											none								A1	A1	A1				0	0	0		1	99		1	1		0									1															1																																																																			1			1		0
Thunder Arena	1065		thunderarena	oSkill		124				thunderringcenterx	thunderringcenterx	thunderringcenterx			92			thunderringcenterx					ongoing_thunderdome		(ln56*(100+stat('profession_duration_mod'.accr)))/100	1		skill_handofathena		100																													150	delay between attacks	1500	duration	500	duration per level					5			1														ltng	18	6	3	3	3	3	24	8	4	4	4	4								0		sorceress_cast_lightning			light_cast_1																																						none								SC	SC	xx				7	100	0		1	99		1	1		6	1				1				1															1									25		25		15																																																						1					0
Arcane Strike	1066		arcanestrike	PAL - UH Melee	39	2																	aura_72		(skill('Grim Presence'.blvl)>0)?(1):(dm78)			passive_fire_mastery		(((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3)+(skill('Black Sleep'.blvl)*par1)	passive_ltng_mastery		(((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3)+(skill('Black Sleep'.blvl)*par1)	passive_cold_mastery		(((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3)+(skill('Black Sleep'.blvl)*par1)	passive_pois_mastery		(((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3)+(skill('Black Sleep'.blvl)*par1)	passive_pm_mastery		(((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3)+(skill('Black Sleep'.blvl)*par1)	skill_armor_percent		par5+((blvl-1)*par6)	par2	dmg %	((dm78*(100+stat('profession_duration_mod'.accr)))/100)*(1+stat('skill_arcanestrike_synergy'.accr))	duration				2	dmg % elem synergy	0	dmg %	8	synergy bonus min	50	synergy bonus max	100	defense %	20	defense % per level	73	duration min	150	duration max	8	96																																				0		diablo_fire_cast	diablo_fire_cast																																								h2h		mele						A1	A1	A1			0	7	6	7	(skill('DSK'.ast2)>0)?(stat('newskills'.accr)+1):((skill('DSK'.ast4)==0)?(((ulvl)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1):(stat('newskills'.accr)+1))	1	99		1	1		0		1			1				1			50	10											1																																																												1							1	1	1	1		0
Terrifying Effect	1067			PAL - Subskill																		3	aura_72	aura_72	35			item_fasterattackrate		-20	item_fastercastrate		-20	toblock		-75	velocitypercent		-50																																																																			0																																											none								A1	A1	xx			0	7	24	5		1	99		1	1		2									1															1																																																																			1					0
Lightning Fury	1068		lightningfury	oSkill			lightningfury						11			lightningfury						42371				par3																				ln12	num targets						1	lightning spells from target	1	extra spells/level	15	Target search radius											8	128																ltng	1	0	0	0	0	0	400	30	30	30	35	40	"min(1, syn1) * stat('passive_ltng_mastery'.accr)"							0																																											rng		jave						TH	TH	xx			0	7	50	30		1	99		1	1		8									1															1																																																																			1					0
Seismic Charge	1069		seismiccharge	oSkill		8				seismiccharge				17			seismiccharge	seismiccharge																												syn1+1+(lvl/20)	number of missiles										125	duration											3			1														cold	36	12	6	6	5	5	48	16	8	8	7	6		10	0	0	0	stat('profession_duration_mod'.accr)		0																																											none								SC	SC	xx			0	7	28	17		1	99		1	1		2									1															1																weapon_throw_1																																																			1					0
UNUSED 1070	1070			Unused																																																																																																																																																																																																																																																																									0
UNUSED 1071	1071			Unused																																																																																																																																																																																																																																																																									0
UNUSED 1072	1072			Unused																																																																																																																																																																																																																																																																									0
UNUSED 1073	1073			Unused																																																																																																																																																																																																																																																																									0
UNUSED 1074	1074			Unused																																																																																																																																																																																																																																																																									0
UNUSED 1075	1075			Unused																																																																																																																																																																																																																																																																									0
Ancientfire	1076			UQ - Uldyssian			ancientfire_center									ancientfire_center																																																					1																																					0		paladin_holybolt_cast			holymagik																																						none								A1	A1	A1				0	0	0		1	99		1	1		0									1															1																																																																			1			1		0
Ancientcold	1077			UQ - Uldyssian			ancientcold_center									ancientcold_center																																																					1																																					0		paladin_holybolt_cast			holymagik																																						none								A1	A1	A1				0	0	0		1	99		1	1		0									1															1																																																																			1			1		0
Ancientlight	1078			UQ - Uldyssian			ancientltng_center									ancientltng_center																																																					1																																					0		paladin_holybolt_cast			holymagik																																						none								A1	A1	A1				0	0	0		1	99		1	1		0									1															1																																																																			1			1		0
Vilechild Spawn	1079			UQ - Uldyssian		8				vilechildspam				17			vilechildspam	vilechildspam																												1																							8																	burn	100						100							75						0																																											none								SC	SC	xx			0	4	48	-4		1	20		1	1		2									1															1																																																																			1					0
VolcanoKiller	1080			UQ - Uldyssian		8				volcanokillerlol				17			volcanokillerlol	volcanokillerlol																												1																							8																	burn	100						100							75						0																																											none								SC	SC	xx			0	4	48	-4		1	20		1	1		2									1															1																																																																			1					0
Gargoyle Shield	1081			UQ - Uldyssian		65															1	73731	slayed	slayed			25	item_healafterkill		50000																																							8																																					0																																											none										xx				0	0	0		1	99			1	1	1	1																							1																																																																			1					0
Guard Lifeblood	1082			UQ - Uldyssian		25																	healingeffect		"max(250-dm12,125)*20"			hpregen		"(stat('maxhp'.accr))/(max(265-dm12,125))"	velocitypercent		50	fireresist		500	coldresist		500	lightresist		500											0	healing speed min	100	healing speed max													8																																				(500*(100-stat('assassin_timer_red_pct'.accr)))/100	0		paladin_holybolt_cast	paladin_holybolt_cast		psychic_hammer_curse																																						none								SC	SC	xx			0	7	120	8	(ulvl>89)?((skill('Lifeblood'.lvl)>0)?(((ulvl-90)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1):9999):9999	1	99			1		4									1											1	1			1																																																													1						1					0
Quad Lazorbeam	1083			UQ - Uldyssian			quadflayA							17		quadflayA																														1	number of missiles																						8		1		60000						60000							mag	3500	3500	3500	3500	3500	3500	4000	4000	4000	4000	4000	4000								0		paladin_aura_resistfire	paladin_aura_resistfire																																								none								SC	SC	xx				0	0	0		1	99		1	1		1									1															1																																																																			1					0
UNUSED 1084	1084			Unused																																																																																																																																																																																																																																																																									0
Unused1085	1085			Unused																																																																																																																																																																																																																																																																									0
DeathMaul	1086			Monster		136				death mauler				76			death mauler	death mauler trail																												96	missile animrate							?		?		?		?		?		?					8				20	15	15	15	15	15	40	30	30	30	30	30																						0																																											none								A1	A1	xx				0	0	0		1				1		0									1															1																																																								1											1					0
MagottLay	1087			Monster		87																																																															8																																					0																																											none								SQ	SQ	xx				0	0	0		1				1		0									1															1																																																								1											1					0
NewTantrum	1088		newtantrum	oSkill	22	27	neotantrumstarter						5			neotantrumstarter										25																												stun length		stun length per level													8	24																																				7	1	baal_missilecast	baal_missilecast		dust	dust																																					rng								A1	A1	xx			0	7	26	13		1	99		1	1		0					1				1		1				4	1								1																																																													2					1	1	1		1		0
Mickey Mouse	1089			UQ - Athulua		8				SuperSpawnRAT				17			SuperSpawnRAT	SuperSpawnRAT																												3	# missiles	0	activation frame				3	missiles	0	missiles per level			0	synergy									8																																					0		sorceress_cast_fire	quest_tainted_sun_flash_1		suncast2																																						none								SC	SC	xx			0	0	0	0		1	99		1	1		1									1															1																																																																			1			1		0
Unused1090	1090			Unused																																																																																																																																																																																																																																																																									0
Unused1091	1091			Unused																																																																																																																																																																																																																																																																									0
Unused1092	1092			Unused																																																																																																																																																																																																																																																																									0
ImpBolt	1093			Monster		17				imp charged bolt				23			imp charged bolt																													lvl+2	#bolts																						8																																					0																																											none								SQ	SQ	A1				0	0	0		1				1		0									1															1																																																								1											1					0
Unused1094	1094			Unused																																																																																																																																																																																																																																																																									0
Unused1095	1095			Unused																																																																																																																																																																																																																																																																									0
Mon Pest Bolt	1096			Monster			pestbolt									pestbolt																																																					1			1														pois	48	24	12	12	12	12	80	40	20	20	20	20		125				stat('skill_poison_dur'.accr)		0		amazon_cast_poison	amazon_cast_poison																																								none								SC	SC	xx				0	0	0		1	99		1	1		3									1															1																																																								18				1							1			1		0
Mon Soulstorm	1097			Monster		28				soulstormcenter	soulstormcenter	soulstormcenter		28			soulstormcenter									15+lvl																				1+(blvl/par7)	number of targets																		2	levels per extra missile			5			1														cold	16	4	2	2	2	2	48	12	6	6	6	6								0				quest_hellforge_flash_1																																							none								SC	SC	xx				0	0	0		1	99			1		4									1						4		1							1																																																																			1					0
Mon 2 Magic Missiles	1098			Monster		8				mon2magicmissile				17			mon2magicmissile	mon2magicmissile																												2	number of missiles	0	activation frame																				5			1														mag	24	8	4	4	4	4	48	16	8	8	8	8								0		sorceress_thunder_bolt	sorceress_thunder_bolt		mooncast																																						none								SC	SC	xx				0	0	0		1	99		1	1		1									1															1																																																																1			1			1		0
Mon Multi Rock	1099			Monster		8				multirock				17			multirock	multirock				42371																								1+lvl	number of missiles	0	activation frame																				5			1														fire	8	8	4	4	4	4	16	16	8	8	8	8								0		sorceress_cast_fire	sorceress_cast_fire																																								none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1					0
Unused1100	1100			Unused																																																																																																																																																																																																																																																																									0
Unused1101	1101			Unused																																																																																																																																																																																																																																																																									0
Unused1102	1102			Unused																																																																																																																																																																																																																																																																									0
Mon Magic Missiles	1103			Monster		8				monmagicmissile				17			monmagicmissile	monmagicmissile																												2	number of missiles	0	activation frame																				5			1														mag	60	20	10	10	10	10	96	32	16	16	16	16								0		sorceress_thunder_bolt	sorceress_thunder_bolt		mooncast																																						none								SC	SC	xx				0	0	0		1	99		1	1		1									1															1																																																																1			1			1		0
Mon Lightning Bolt	1104			Monster			barlightning									barlightning																																																					5			1													64	ltng	16						96	32	32	32	32	32								0		lightningorb_attack_1	lightningorb_attack_1		light_cast_1																																						none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1					0
New Broadside	1105		broadside	Monster			newsucksidestarter									newsucksidestarter																																					375	lockout length	-10	lockout length per level													8	96																																				0																																											rng								A1	A1	xx			0	7	640	0		1	99		1	1		2									1															1																																																																			1			1		0
Mon Tempest Storm	1106			Monster		28				tempeststormcenter	tempeststormcenter	tempeststormcenter		28			tempeststormcenter									15+lvl																				3+(blvl/par7)	number of targets																		2	levels per extra missile			5			1														ltng	16	4	2	2	2	2	48	12	6	6	6	6		250				stat('profession_duration_mod'.accr)		0				quest_hellforge_flash_1																																							none								SC	SC	xx				0	0	0		1	99			1		4									1						4		1							1																																																																			1					0
Summon Shadows	1107		summonshadows	oSkill		153																						damagepercent		((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)																((((stat('skill_minion_hp_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100))*(10000+(ulvl*ulvl)))/10000	hp%	1	sum per cast				0	resist all min	200	resist all max	17	hit points	15	hit points per level	50	AR per lvl	1	elemental synergy		Ranged?	4	levels per petmax synergy	5																								70	70	70	70	70	70								0		mephisto_muted_cast	mephisto_chargedbolt_cast		mooncast				mindamage		"min(edmx,4000)"	maxdamage		"min(edmx,4000)"	passive_shadows_addelem		(lvl*par6)										shadows_new	shadowspet	"(stat('passivelockout'.accr)>12)?(0):(min(lvl,9))"	NU	Shadow Demon Blood	lvl											none								SC	SC	xx			0	7	20	12		1	99		1	1		0	1				1										4									1																																																																			1			1		0
Summon Rampagor	1108		summonrampagor	oSkill		153																						damagepercent		((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)	poisonlength		"min(((lvl*5)+10),100)"													((((stat('skill_minion_hp_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100))*(10000+(ulvl*ulvl)))/10000	hp%	1	sum per cast				0	resist all min	200	resist all max	65	hit points	25	hit points per level	50	AR per lvl				Ranged?	4	levels per petmax synergy	5																								72	100	100	100	100	100								0		mephisto_muted_cast	mephisto_chargedbolt_cast		mooncast				mindamage		"min(edmx,4000)"	maxdamage		"min(edmx,4000)"	poisonmindam		6*lvl*(20+ulvl)	poisonmaxdam		12*lvl*(10+ulvl)							rampagors_new	rampagorspet	"(stat('passivelockout'.accr)>12)?(0):(min((1+(lvl/4)),6))"	NU													none								SC	SC	xx			0	7	80	22		1	99		1	1		0	1				1										4									1																																																																			1			1		0
Summon Lamia	1109		summonlamia	oSkill		153																						damagepercent		((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)																((((stat('skill_minion_hp_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100))*(10000+(ulvl*ulvl)))/10000	hp%	1	sum per cast				0	resist all min	200	resist all max	59	hit points	28	hit points per level	100	AR per lvl				Ranged?	2	levels per petmax synergy	5																								60	80	80	80	80	80								0		mephisto_muted_cast	mephisto_chargedbolt_cast		mooncast				mindamage		"min(edmx,4000)"	maxdamage		"min(edmx,4000)"	item_slow		"min((10+((lvl*2)/3)),50)"	item_drain_aura		blvl							lamias	lamiaspet	"(stat('passivelockout'.accr)>12)?(0):(min((1+(lvl/3)),9))"	NU													none								SC	SC	xx			0	7	180	30		1	99		1	1		0	1				1										4									1																																																																			1			1		0
Summon Void Archon	1110		summonvoidarchon	oSkill		153																						damagepercent		((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)																((((stat('skill_minion_hp_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100))*(10000+(ulvl*ulvl)/2))/10000	hp%	1	sum per cast				0	resist all min	200	resist all max	133	hit points	35	hit points per level	75	AR per lvl				Ranged?			5																								299	90	90	90	90	100								0		mephisto_muted_cast	mephisto_chargedbolt_cast	warp_aura_active	whiteblinding				mindamage		"min(edmx,4000)"	maxdamage		"min(edmx,4000)"													voidarchons	voidarchonspet	(stat('passivelockout'.accr)>12)?(0):(1)	NU	Void Archon Amp Aura	lvl											none								SC	SC	xx			0	7	500	52		1	99		1	1		0	1				1										4									1																																																																			1					0
Soulbondism Frost Aura	1111			NEC - Subskill		65															1	73730	frostbond	frostbond		13	50	si_1		1	passive_cold_mastery		"((stat('si_1'.accr)==5)?(clc2):((stat('si_1'.accr)==4)?clc1:0))+rand(0,1)"	item_healafterkill		"((stat('si_1'.accr)>3)?clc3:0)+rand(0,1)"	damageresist		"((stat('si_1'.accr)==5)?20:0)+rand(0,1)"							(30+(lvl*4))*(100+stat('statX_1'.accr))/100	ele dmg%	(50+(lvl*5))*(100+stat('statX_1'.accr))/100	ele dmg venom%	(10+5*lvl)*(100+10*lvl)/300*(100+stat('statX_1'.accr))/100	laek																		8																								10	4	4	4	4	3	lvl*10						5	0																																											none										xx				0	0	0		1	99			1	1	8	1				1																			1																																																								1											1					0
Soulbondism Storm Aura	1112			NEC - Subskill		65															1	73730	stormbond	stormbond		13	50	si_1		1	passive_ltng_mastery		"((stat('si_1'.accr)==5)?(clc2):((stat('si_1'.accr)==4)?clc1:0))+rand(0,1)"	item_healafterkill		"((stat('si_1'.accr)>3)?clc3:0)+rand(0,1)"	damageresist									(30+(lvl*4))*(100+stat('statX_1'.accr))/100	ele dmg%	(50+(lvl*5))*(100+stat('statX_1'.accr))/100	ele dmg venom%	(10+5*lvl)*(100+10*lvl)/300*(100+stat('statX_1'.accr))/100	laek																		8																								10	4	4	4	4	3	lvl*10						5	0																																											none										xx				0	0	0		1	99			1	1	8	1				1																			1																																																								1											1					0
