!01	Naginata (1)
!03	Naginata (2)
!05	Naginata (3)
!06	Naginata (4)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!1!	Warp Blade (2)
!10	Raptor Scythe (2)
!12	Raptor Scythe (3)
!13	Raptor Scythe (4)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!17	Bonesplitter (2)
!19	Bonesplitter (3)
!20	Bonesplitter (4)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!24	Mammen Axe (2)
!26	Mammen Axe (3)
!27	Mammen Axe (4)
!28	Mammen Axe (Sacred)
!3!	Warp Blade (3)
!30	Hammerhead Axe (2)
!32	Hammerhead Axe (3)
!33	Hammerhead Axe (4)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!37	Ono (2)
!39	Ono (3)
!4!	Warp Blade (4)
!40	Ono (4)
!41	Ono (Sacred)
!42	Valaska (1)
!44	Valaska (2)
!46	Valaska (3)
!47	Valaska (4)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!51	Labrys (2)
!53	Labrys (3)
!54	Labrys (4)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!58	Flamen Staff (2)
!60	Flamen Staff (3)
!61	Flamen Staff (4)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!65	Marrow Staff (2)
!67	Marrow Staff (3)
!68	Marrow Staff (4)
!69	Marrow Staff (Sacred)
!70	Hexblade (1)
!72	Hexblade (2)
!74	Hexblade (3)
!75	Hexblade (4)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!79	Spirit Edge (2)
!81	Spirit Edge (3)
!82	Spirit Edge (4)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!86	Holy Lance (2)
!88	Holy Lance (3)
!89	Holy Lance (4)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!93	Tepoztopilli (2)
!95	Tepoztopilli (3)
!96	Tepoztopilli (4)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!@1	\dgreen;Evil Eye of the Clawstorm
!@2	\dgreen;Evil Eye of the Landmass
!@3	\dgreen;Evil Eye of the Glowing Blob
!@4	\dgreen;Evil Eye of the Fairy Witch
!@5	\dgreen;Evil Eye of the Bane Hunter
!@6	\dgreen;Dogma of Suffering
!@7	\dgreen;Dogma of Pain
!@8	\dgreen;Dogma of Hatred
!@9	\dgreen;Dogma of Terror
!@A	\dgreen;Dogma of Destruction
!@B	\dgreen;Signet of Skill
##.	\gold;Neutrality Pact
##^	\dgreen;Custom Signet of Learning
#01	\orange;Lord Aldric Jitan Trophy
#02	\orange;Legacy of Blood Trophy
#03	\orange;Judgement Day Trophy
#04	\orange;Akarat Trophy
#05	\orange;Kingdom of Shadow Trophy
#06	\orange;Duncraig Trophy
#07	\orange;Rathma Square Trophy
#08	\orange;Cathedral of Light Trophy
#09	\orange;Tran Athulua Trophy
#10	\orange;Quov Tsin Trophy
#11	\orange;Astrogha Trophy
#12	\orange;The Lord of Sin Trophy
#13	\orange;Viz-jun Trophy
#14	\orange;Archbishop Lazarus Trophy
#15	\orange;Triune Trophy
#16	\orange;Uldyssian's Trophy
#17	\orange;Black Road Trophy
#1^	\gold;Diablo's Essence
#2^	\orange;Pandora's Box
#X0	Gem
#X1	Реагент Куба (Секретный)\n\orange;Emblem of Suffering
#X2	Реагент Куба (Секретный)\n\orange;Emblem of Pain
#X3	Реагент Куба (Секретный)\n\orange;Emblem of Hatred
#X4	Реагент Куба (Секретный)\n\orange;Emblem of Terror
#X5	Реагент Куба (Секретный)\n\orange;Emblem of Destruction
#X6	Реагент Куба (Секретный)\n\orange;Emblem of Lies
#X7	Level Challenge 0
#X8	\red;Instructions\nLevel Challenge 0
#X9	Реагент Куба\n\orange;Griswold's Treasure
#Y^	Creator's Hand\nCongratulations!
&66	\orange;Mystic Orb\nKara's Trinket
skillan122	Fanaticism
skillan123	Conviction
skillan124	Redemption
skillan125	Salvation
skillan126	Bash
skillan127	Sword Mastery
skillan128	Axe Mastery
skillan129	Mace Mastery
skillan13	Dodge
skillan130	Howl
skillan131	Find Potion
skillan132	Leap
skillan133	Double Swing
skillan134	Pole Arm Mastery
skillan135	Throwing Mastery
skillan136	Spear Mastery
skillan137	Насмешка
skillan138	Shout
skillan139	Stun
skillan14	Power Strike
skillan140	Double Throw
skillan141	Increased Stamina
skillan142	Find Item
skillan143	Leap Attack
skillan144	Concentrate
skillan145	Iron Skin
skillan146	Battle Cry
skillan147	Frenzy
skillan148	Increased Speed
skillan149	Battle Orders
skillan15	Poison Javelin
skillan150	Grim Ward
skillan151	Whirlwind
skillan152	Berserk
skillan153	Natural Resistance
skillan154	War Cry
skillan155	Battle Command
skillan16	Exploding Arrow
skillan17	Slow Missiles
skillan18	Avoid
skillan19	Impale
skillan2	Бросок
skillan20	Lightning Bolt
skillan21	Ice Arrow
skillan217	Идентификация
skillan218	Идентификация
skillan219	Городской Портал
skillan22	Guided Arrow
skillan220	Городской Портал
skillan23	Penetrate
skillan24	Charged Strike
skillan25	Plague Javelin
skillan26	Strafe
skillan27	Immolation Arrow
skillan28	Decoy
skillan29	Evade
skillan3	Изгнать
skillan30	Fend
skillan31	Freezing Arrow
skillan32	Valkyrie
skillan33	Pierce
skillan34	Light'ng Strike
skillan35	Lightning Fury
skillan36	Fire Bolt
skillan37	Warmth
skillan38	Электрический Заряд
skillan39	Ice Bolt
skillan4	Лев. бросок
skillan40	Frozen Armor
skillan41	Inferno
skillan42	Static Field
skillan43	Telekinesis
skillan44	Frost Nova
skillan45	Ice Blast
skillan46	Blaze
skillan47	Fire Ball
skillan48	Nova
skillan49	Lightning
skillan5	Левый взмах
skillan50	Shiver Armor
skillan51	Fire Wall
skillan52	Enchant
skillan53	Chain Lightning
skillan54	Телепорт
skillan55	Glacial Spike
skillan56	Meteor
skillan57	Thunder Storm
skillan58	Energy Shield
skillan59	Blizzard
skillan6	Magic Arrow
skillan60	Chilling Armor
skillan61	Fire Mastery
skillan62	Hydra
skillan63	Lightning Mastery
skillan64	Frozen Orb
skillan65	Cold Mastery
skillan66	Усиление
skillan67	Teeth
skillan68	Bone Armor
skillan69	Skeleton Mastery
skillan7	Fire Arrow
skillan70	Raise Skeleton
skillan71	Dim Vision
skillan72	Ослабление
skillan73	Poison Dagger
skillan74	Corpse Explosion
skillan75	Clay Golem
skillan76	Iron Maiden
skillan77	Terror
skillan78	Bone Wall
skillan79	Golem Mastery
skillan8	Inner Sight
skillan80	Skeletal Mage
skillan81	Confuse
skillan82	Life Tap
skillan83	Poison Exp.
skillan84	Bone Spear
skillan85	Blood Golem
skillan86	Attract
skillan87	Decrepify
skillan88	Bone Prison
skillan89	Summon Resist
skillan9	Critical Strike
skillan90	Iron Golem
skillan91	Lower Resist
skillan92	Poison Nova
skillan93	Bone Spirit
skillan94	Fire Golem
skillan95	Revive
skillan96	Sacrifice
skillan97	Smite
skillan98	Might
skillan99	Prayer
skilldesc1	Уровень 
skilldesc2	 процентов
skilldesc3	Минимальный Требуемый Уровень для Изучения Навыка: 
skilldesc4	Количество 
skillld0	нормальная атака
skillld1	пнуть цель
skillld10	копьем или дротиками\nатака серией быстрых выпадов
skillld100	наносимый вам и вашей группе\nбудучи активной, аура снижает урон огнем,
skillld101	или лечит союзников\nкоторая поражает нежить\nстрела святой энергии,
skillld102	врагов небесным огнем\nбудучи активной, аура поражает ближних
skillld103	наносимый вам, на атакующего\nбудучи активной, аура отражает урон,
skillld104	вас и вашей группы\nбудучи активной, аура повышает защиту
skillld105	холодом, наносимый вам и вашей группе\nбудучи активной, аура снижает урон
skillld106	за одну атаку\nпозволяет атаковать нескольких врагов
skillld107	бешенная атака на врага
skillld108	уровень атаки для вас и вашей группы\nбудучи активной, аура повышает
skillld109	будете отравлены или прокляты\nв течение которого вы и ваша группа\nбудучи активной, аура снижает время
skillld11	всегда попадает\nстрелы наносят половину обычного урона\nдобавление урона холодом и замедления\nмагическое улучшение ваших стрел
skillld110	от молний для вас и вашей группы\nбудучи активной, аура снижает урон
skillld111	огнем или молнией\nк успешной атаке добавляется урон холодом
skillld112	150 процентов урона нежити\nпоражающий врагов\nвызывает молот с небес,
skillld113	и снижает шансы, что атака будет прервана \nбудучи активной, аура повышает урон от атаки
skillld114	будучи активной, аура замораживает монстров
skillld115	максимальную выносливость и скорость\nбудучи активной, аура ускоряет восстановление выносливости,
skillld116	против других демонов и тварей\nзаставляет монстров драться
skillld117	улучшает щит при помощи божественной энергии
skillld118	электричества, поражающие ближних существ\nбудучи активной, аура создает импульсы
skillld119	и отбрасывает их\nбудучи активной, аура повреждает нежить
skillld12	стрелы на несколько\nмагическое расщепление
skillld120	маны для вас и вашей группы\nбудучи активной, аура ускоряет восстановление
skillld121	ищут близких врагов\nмолния ударяет в цель а святые стрелы
skillld122	и силу атаки для вас и вашей группы\nбудучи активной, аура повышает скорость атаки
skillld123	и сопротивляемость ближних врагов\nбудучи активной, аура снижает защиту
skillld124	вам и вашей группе здоровье и ману\nдуши поверженных врагов, что дает\nбудучи активной, аура пытается освободить
skillld125	и молний для вас и вашей группы\nбудучи активной, аура снижает урон от огня, холода
skillld126	и отбрасывает их назад\nповышает урон, наносимый врагам
skillld127	пассивно - повышает навык владения мечом
skillld128	пассивно - повышает навык владения топором
skillld129	пассивно - повышает навык владения булавой
skillld13	атакуете или стоите\nот ближней атаки, когда вы\nпассивно - у вас есть шанс уклониться
skillld130	разбегаются в страхе\nближние монстры
skillld131	в поисках зелий\nобыскивается труп убитого монстра
skillld132	или в драку\nпрыжок от опасности
skillld133	или одна цель дважды\nатакуются две цели,\nкогда используется два оружия
skillld134	пассивно - повышает навык владения алебардой
skillld135	пассивно - повышает навык владения метательным оружием
skillld136	пассивно - повышает навык владения копьем
skillld137	бросает монстра в яростную атаку
skillld138	вас и вашей группы\nпредупреждает об опасности и повышает защиту
skillld139	и повышает эффективность вашей атаки\nненадолго останавливает цель
skillld14	при атаке копьем иди дротиком\nдобавление урона молнией
skillld140	оружия за раз\nпозволяет бросить два разных метательных
skillld141	пассивно - повышение выносливости
skillld142	в поисках скрытых сокровищ\nубитые монстры обыскиваются
skillld143	прыжке\nатака врага в быстром
skillld144	повышается уровень атаки и защиты\nатаку нельзя прервать, также
skillld145	пассивно - повышает уровень защиты
skillld146	уровень защиты и урон, наносимый врагами\nужасный крик, снижающий
skillld147	требуется два оружия\nкаждая успешная атака повышает вашу скорость\nпозволяет наносить удар двумя оружиями
skillld148	пассивно - повышение скорость при ходьбе и беге
skillld149	повышает здоровье, ману и выносливость группы
skillld15	остается облако яда\nмагическое улучшение дротика
skillld150	что заставляет ближних монстров бежать\nдля создания пугающего тотема,\nиспользуется труп убитого монстра
skillld151	в толпе ваших врагов\nпрокладывающий путь\nкружащийся танец смерти
skillld152	но снижающая уровень защиты\nповышающая урон и уровень атаки,\nмощная, но опрометчивая атака
skillld153	от стихийного урона и яда\nпассивно - повышение естественной защиты
skillld154	ранит и останавливает ближних существ
skillld155	повышает текущий уровень для вас и вашей группы
skillld16	всегда попадает\nконтакте, поражая ближних врагов\nваши стрелы взрываются при
skillld17	подсвечивает врагов и замедляет их дальние атаки
skillld18	выстрелов врагов\nпассивно - у вас есть шанс уклониться от
skillld19	повышение урона, но износ оружия
skillld2	бросить используемый предмет
skillld20	магически превращает дротик в молнию
skillld21	всегда попадает\nони замораживают врагов\nмагическое улучшение стрел,
skillld217	идентификация свойств магических предметов
skillld218	идентификация свойств магических предметов
skillld219	создает магический портал в ближайший город
skillld22	всегда попадает\nили сами выискивают ее\nони летят за целью\nмагическое улучшение стрел,
skillld220	создает магический портал в ближайший город
skillld23	пассивно - повышает эффективность атаки
skillld24	и высвобождает заряды при попадании\nдобавляет копьям и дротикам урон молнией
skillld25	попадании высвобождается облако яда\nмагическое улучшение дротика, при
skillld26	для поражения нескольких врагов\nразделяет стрелу на несколько
skillld27	всегда попадает\nи при попадании создает костер\nсильный урон огнем\nулучшенная стрела наносит
skillld28	которая отвлекает огонь врага\nсоздает вашу копию
skillld29	когда вы идете или бежите\nот ближней или дальней атаки\nпассивно - у вас есть шанс уклониться
skillld3	с одного из ваших существ\nснимает контроль
skillld30	атака всех ближних целей
skillld31	всегда попадает\nони замораживают группу монстров\nмагическое улучшение стрел
skillld32	вызывает вам в помощь грозную Валькирию
skillld33	шанс пройти через врага\nпассивно - у ваших выстрелов есть
skillld34	и высвобождает при попадании цепную молнию\nдобавляет урон молнии копьям и дротикам
skillld35	удар молнии, разделяющейся при попадании\nпревращает дротик в мощный
skillld36	создает магическую огненную стрелу
skillld37	пассивно - повышает скорость восстановления маны
skillld38	направлениях стрел энергии\nсоздает несколько летящих в разных
skillld39	которая повреждает и замедляет врагов\nсоздает магическую ледяную стрелу
skillld4	бросить предмет, находящийся в левой руке
skillld40	атакующих врагов\nповышает защиту и замораживает
skillld41	поджаривающего ваших врагов\nсоздает непрерывный поток огня
skillld42	здоровье всех ближайших врагов/nсоздает электрическое поле, снижающее
skillld43	и отталкивать врагов\nподбирать предметы, использовать вещи\nиспользует силу разума, чтобы
skillld44	поражает и замораживает всех близких врагов\nсоздает расширяющееся кольцо льда, которое
skillld45	которая поражает и замораживает врагов\nсоздает магическую сферу льда
skillld46	поджаривающая врагов\nза вами следует стена огня
skillld47	которая поглощает ваших врагов\nсоздает взрывающуюся сферу огня
skillld48	поражающе ближних врагов\nсоздает расширяющееся кольцо молний
skillld49	опустошающий ряды врагов\nсоздает удар молнии
skillld5	удар оружием в левой руке
skillld50	замораживает и поражает атакующих врагов\nповышает степень защиты
skillld51	поджаривающую ваших врагов\nсоздает стену огня
skillld52	урон огнем в одну треть для дальнобойного оружия\nдобавляет урон огнем рукопашному оружию\nулучшает оружие существа цели или союзника
skillld53	поражающий несколько целей\nсоздает удар молнии
skillld54	мгновенно перемещает в точку назначения в поле зрения
skillld55	или убивающую ближних врагов\nсоздает магическую комету, замораживающую
skillld56	раздавливающий и испепеляющий врагов\nс небес вызывается метеор
skillld57	поражающую врагов ударами молний\nвызывает смертельную бурю
skillld58	уменьшается не здоровья, а мана\nсоздает магический щит, при котором
skillld59	массивные осколки льда поражают врагов
skillld6	наносящую доп. урон\nсоздает магическую стрелу,
skillld60	выпускает ледяную молнию\nповышает защиту и в ответ на дальнюю атаку
skillld61	пассивно - повышает урон от заклинаний огня
skillld62	превращающую врагов в пепел\nвызывает многоголовую огненную гидру
skillld63	электрические заклинания\nпассивно - снижает расход маны на
skillld64	потоки ледяных молний во врагов\nсоздает магический шар, выбрасывающий
skillld65	пронзая врагов, нечувствительных к холоду\nпассивно - повышение урона от атак холодом
skillld66	больше немагического урона\nпроклятие группы врагов, они получают
skillld67	создает заграждение из вызванных острых зубов
skillld68	который поглощает ближние удары\nсоздает вращающийся костяной щит
skillld69	наносимый поднятыми существами\nпассивно - повышает здоровье и урон
skillld7	всегда попадает\nстрел огнем,\nмагическое улучшение
skillld70	который сражается за вас\nподнимается скелет,\nиспользуется на труп убитого монстра,
skillld71	снижается их обзор\nпроклятие группы монстров,
skillld72	снижение наносимого ими урона\nпроклятие группы врагов,
skillld73	атака кинжалом отравляет врага
skillld74	он взрывается, повреждая ближних существ\nиспользуется на труп убитого монстра,
skillld75	сражающегося за вас\nсоздает голема из земли,
skillld76	урон себе, нанося урон другим\nпроклятие группы врагов, они наносят
skillld77	они бегут в страхе\nпроклятие группы монстров,
skillld78	из костей и мусора\nсоздает непроходимый барьер
skillld79	повышает здоровье и скорость всех ваших големов
skillld8	вам и вашей группе\nи в них легче попасть\nподсвечивает ближних врагов
skillld80	сражающийся за вас\nподнимается маг скелет,\nиспользуется на труп убитого монстра,
skillld81	заставляет монстра атаковать случайную цель
skillld82	атакующий их получает здоровье\nпроклятие группы монстров,
skillld83	отравляющий ближних монстров\nвыпускается токсичный газ\nиспользуется на труп убитого монстра,
skillld84	вызывает смертельный костяной шип, пронзающий врага
skillld85	жизнью и получаемым уроном\nсоздается голем, делящийся с вами уворовываемой
skillld86	это проклятие может быть отменено другим\nцелью всех ближайших монстров\nпроклятие монстра, он становится
skillld87	слабыми, медленными и получают больший урон\nпроклятие группы врагов, они становятся
skillld88	создает вокруг цели барьер из окаменелых костей
skillld89	всех призываемых существ\nпассивно - повышение сопротивляемости
skillld9	пассивно - шанс нанести двойной урон
skillld90	который получает все свойства предмета\nпревращает металлический предмет в голема
skillld91	монстров и игроков врагов\nот магических атак, снижение сопротивляемости\nпроклятые враги получают больший урон
skillld92	создает расширяющееся кольцо концентрированного яда
skillld93	который атакует цель или ищет свою\nвыпускает дух не упокоенной нежити
skillld94	получаемый им из огня, в жизнь\nсоздает голема, который превращает урон, 
skillld95	и он сражается на вшей стороне\nвозвращает монстра к жизни
skillld96	ценой здоровья\nповышение точности и урона
skillld97	нанося ему удар щитом\nвременно ошеломляет врага
skillld98	наносимой вами и вашей группой\nбудучи активной, аура повышает урон,
skillld99	здоровье вас и вашей группы\nбудучи активной, аура медленно восстанавливает
skillname0	Атака
skillname1	Пинок
skillname10	Jab
skillname100	Resist Fire
skillname101	Holy Bolt
skillname102	Holy Fire
skillname103	Thorns
skillname104	Defiance
skillname105	Resist Cold
skillname106	Zeal
skillname107	Charge
skillname108	Charge
skillname109	Cleansing
skillname11	Cold Arrow
skillname110	Resist Lightning
skillname111	Vengeance
skillname112	Blessed Hammer
skillname113	Concentration
skillname114	Holy Freeze
skillname115	Vigor
skillname116	Conversion
skillname117	Holy Shield
skillname118	Holy Shock
skillname119	Sanctuary
skillname12	Multiple Shot
skillname120	Meditation
skillname121	Fist of the Heavens
skillname122	Fanaticism
skillname123	Conviction
skillname124	Redemption
skillname125	Salvation
skillname126	Bash
skillname127	Sword Mastery
skillname128	Axe Mastery
skillname129	Mace Mastery
skillname13	Dodge
skillname130	Howl
skillname131	Find Potion
skillname132	Leap
skillname133	Double Swing
skillname134	Pole Arm Mastery
skillname135	Throwing Mastery
skillname136	Spear Mastery
skillname137	Насмешка
skillname138	Shout
skillname139	Stun
skillname14	Power Strike
skillname140	Double Throw
skillname141	Increased Stamina
skillname142	Find Item
skillname143	Leap Attack
skillname144	Concentrate
skillname145	Iron Skin
skillname146	Battle Cry
skillname147	Frenzy
skillname148	Increased Speed
skillname149	Battle Orders
skillname15	Poison Javelin
skillname150	Grim Ward
skillname151	Whirlwind
skillname152	Berserk
skillname153	Natural Resistance
skillname154	War Cry
skillname155	Battle Command
skillname16	Exploding Arrow
skillname17	Slow Missiles
skillname18	Avoid
skillname19	Impale
skillname2	Бросок
skillname20	Электрическая стрела
skillname21	Ice Arrow
skillname217	Свиток Идентификации
skillname218	Том Идентификации
skillname219	Свиток Городского Портала
skillname22	Guided Arrow
skillname220	Том Городского Портала
skillname23	Penetrate
skillname24	Charged Strike
skillname25	Plague Javelin
skillname26	Strafe
skillname27	Immolation Arrow
skillname28	Decoy
skillname29	Evade
skillname3	Изгнать
skillname30	Fend
skillname31	Freezing Arrow
skillname32	Valkyrie
skillname33	Pierce
skillname34	Lightning Strike
skillname35	Lightning Fury
skillname36	Fire Bolt
skillname37	Warmth
skillname38	Электрический Заряд
skillname39	Ice Bolt
skillname4	Бросок левой рукой
skillname40	Frozen Armor
skillname41	Inferno
skillname42	Static Field
skillname43	Telekinesis
skillname44	Frost Nova
skillname45	Ice Blast
skillname46	Blaze
skillname47	Fire Ball
skillname48	Nova
skillname49	Lightning
skillname5	Свинг левой рукой
skillname50	Shiver Armor
skillname51	Fire Wall
skillname52	Enchant
skillname53	Chain Lightning
skillname54	Телепорт
skillname55	Glacial Spike
skillname56	Meteor
skillname57	Thunder Storm
skillname58	Energy Shield
skillname59	Blizzard
skillname6	Magic Arrow
skillname60	Chilling Armor
skillname62	Hydra
skillname63	Lightning Mastery
skillname64	Frozen Orb
skillname65	Cold Mastery
skillname66	Усиление Урона
skillname67	Teeth
skillname68	Bone Armor
skillname69	Skeleton Mastery
skillname7	Fire Arrow
skillname70	Raise Skeleton
skillname71	Dim Vision
skillname72	Weaken
skillname73	Poison Dagger
skillname74	Corpse Explosion
skillname75	Clay Golem
skillname76	Iron Maiden
skillname77	Terror
skillname78	Bone Wall
skillname79	Golem Mastery
skillname8	Inner Sight
skillname80	Raise Skeletal Mage
skillname81	Confuse
skillname82	Life Tap
skillname83	Poison Explosion
skillname84	Bone Spear
skillname85	Blood Golem
skillname86	Attract
skillname87	Decrepify
skillname88	Bone Prison
skillname89	Summon Resist
skillname9	Critical Strike
skillname90	Iron Golem
skillname91	Lower Resist
skillname92	Poison Nova
skillname93	Bone Spirit
skillname94	Fire Golem
skillname95	Revive
skillname96	Sacrifice
skillname97	Smite
skillname98	Might
skillname99	Prayer
skillsd0	нормальная атака
skillsd1	пнуть цель
skillsd10	быстрые атаки колющим оружием
skillsd100	аура - защита от урона огнем
skillsd101	святая энергия поражает нежить
skillsd102	аура - пламя поражает ближних врагов
skillsd103	аура - отражает урон на врага
skillsd104	аура - повышение защиты
skillsd105	аура - защита от урона холодом
skillsd106	атакует нескольких ближних существ
skillsd107	бешенная атака на врага
skillsd108	аура - повышает уровень атаки
skillsd109	аура - снижает время отравления и проклятие
skillsd11	стрелы замедляют цель
skillsd110	аура - защищает от урона молнией
skillsd111	атаки наносят стихийный урон
skillsd112	вызывается летящий магический молот
skillsd113	аура - повышает ваши атакующие способности
skillsd114	аура - замораживает ближних монстров
skillsd115	аура - быстрее восстанавл. скорость и выносливость
skillsd116	сменяет пристрастия монстров
skillsd117	улучшает ваш щит
skillsd118	аура - урон молнией ближним существам
skillsd119	аура - отбрасывает и повреждает нежить
skillsd12	выстрел несколькими стрелами
skillsd120	аура - ускоряет восстановление маны
skillsd121	цель изгоняется
skillsd122	аура - повышает скорость атаки
skillsd123	аура - ослабляет врагов
skillsd124	аура - изымает из трупов жизнь и ману
skillsd125	аура - защищает от стихийного урона
skillsd126	повышает наносимый урон
skillsd127	пассивно - повышает навык владения мечом
skillsd128	пассивно - повышает навык владения топором
skillsd129	пассивно - повышает навык владения булавой
skillsd13	пассивно - уклонение от ближних атак
skillsd130	пугает ближних монстров
skillsd131	обыскивает трупы в поисках зелий
skillsd132	прыжок через препятствие
skillsd133	удар двумя оружиями
skillsd134	пассивно - повышает навык владения алебардой
skillsd135	пассивно - повышает навык владения метательным оружием
skillsd136	пассивно - повышает навык владения копьем
skillsd137	заставляет монстра атаковать
skillsd138	предупреждает группу и повышает защиту
skillsd139	останавливает вашу цель
skillsd14	добавление урона молнией
skillsd140	бросок двумя оружиями за раз
skillsd141	пассивно - повышение выносливости
skillsd142	обыск трупов в поисках предметов
skillsd143	атака врага в прыжке
skillsd144	атаку нельзя прервать
skillsd145	пассивно - повышает уровень защиты
skillsd146	снижает эффективность врагов
skillsd147	успешный двойной удар повышает скорость
skillsd148	пассивно - повышение скорость при ходьбе и беге
skillsd149	повышает здоровье, ману и выносливость группы
skillsd15	добавление урона ядом
skillsd150	создает пугающий тотем
skillsd151	кружащийся танец смерти
skillsd152	мощная, но опрометчивая атака
skillsd153	пассивно - повышение естественных сопротивлений
skillsd154	ранит и останавливает ближних существ
skillsd155	повышает уровень навыка
skillsd16	стрелы взрываются
skillsd17	замедление дальних атак врагов
skillsd18	пассивно - уклонение от выстрелов
skillsd19	повышение урона, но износ оружия
skillsd2	бросить используемый предмет
skillsd20	шанс превратить дротик в молнию
skillsd21	стрелы замораживают врагов
skillsd217	идентификация свойств магических предметов
skillsd218	идентификация свойств магических предметов
skillsd219	создает магический портал в ближайший город
skillsd22	стрелы сами ищут врагов
skillsd220	создает магический портал в ближайший город
skillsd23	пассивно - повышает эффективность атаки
skillsd24	улучшение колющего оружия зарядом
skillsd25	улучшение дротика ядовитым взрывом
skillsd26	стрелы поражают несколько целей
skillsd27	стрелы поджигают врагов
skillsd28	создает вашу копию
skillsd29	пассивно - уклонение при движении
skillsd3	освобождает вызванное существо
skillsd30	атака всех ближних целей
skillsd31	стрелы замораживают несколько монстров
skillsd32	вызывает вам в помощь грозную Валькирию
skillsd33	пассивно - выстрелы проходят через врагов
skillsd34	улучшение колющего оружия цепной молнией
skillsd35	удар молнии, разделяющийся при попадании
skillsd36	создает огненную стрелу
skillsd37	пассивно - повышает скорость восстановления маны
skillsd38	создает несколько смертельных искр
skillsd39	выстрел осколком льда, замедляющим врагов
skillsd4	бросить предмет в левой руке
skillsd40	повышает защиту и замораживает атакующего
skillsd41	создает струю пламени
skillsd42	создает поле смертельных искр
skillsd43	перемещение объектов на расстоянии
skillsd44	создает кольцо холода
skillsd45	создает ледяную сферу, замораживающую врагов
skillsd46	создает пламя за вами
skillsd47	создает взрывающуюся сферу огня
skillsd48	создает электрически заряженное кольцо
skillsd49	создает удар молнии
skillsd5	удар оружием в левой руке
skillsd50	замораживает и поражает атакующих
skillsd51	создает стену огня
skillsd52	улучшает ближнее и дальнее оружие огнем
skillsd53	создает цепь молний
skillsd54	мгновенно перемещает в точку назначения
skillsd55	создает замораживающую ледяную комету
skillsd56	с небес вызывается метеор
skillsd57	вызывает сильную бурю
skillsd58	использование маны в качестве щита
skillsd59	вызывается снежная буря
skillsd6	создает магическую стрелу
skillsd60	отвечает на дальние атаки
skillsd61	пассивно - повышает урон огнем
skillsd62	вызывает многоголовую гидру
skillsd63	пассивно - снижает стоимость электр. заклинаний
skillsd64	создает шар морозной смерти
skillsd65	пассивно - атаки холодом становятся бронебойными
skillsd66	проклятие - повышение урона, получаемого врагами
skillsd67	стреляет острыми зубами
skillsd68	создает костяную сферу, поглощающую удары
skillsd69	пассивно - лучшие скелеты и оживленные существа
skillsd7	ваши стрелы бьют огнем
skillsd70	поднятие скелетов из трупов
skillsd71	проклятие - уменьшает обзор монстров
skillsd72	проклятие - снижает урон, наносимый врагами
skillsd73	атака кинжалом отравляет врага
skillsd74	превращает труп в бомбу
skillsd75	создает голема, сражающегося за вас
skillsd76	проклятие - враги повреждают себя
skillsd77	проклятие - монстры в страхе бегут
skillsd78	создает непроходимый барьер
skillsd79	повышает здоровье и скорость големов
skillsd8	подсвечивает и ослабляет монстров
skillsd80	поднятие из трупа мага скелета
skillsd81	проклятие - монстр атакует случайную цель
skillsd82	проклятие - враги дают жизнь атакующим
skillsd83	превращает труп в ядовитую газовую бомбу
skillsd84	вызывает смертельный костяной шип
skillsd85	голем, разделяющий жизнь и урон
skillsd86	проклятие - монстр становится целью всех и вся
skillsd87	проклятие - сильно замедляет и ослабляет врагов
skillsd88	создает вокруг цели барьер из костей
skillsd89	пассивно - призываемые монстры обладают сопротивлением
skillsd9	пассивно - шанс нанести двойной урон
skillsd90	создание голема из предмета
skillsd91	проклятие - снижает защиту врагов от магии
skillsd92	создает расширяющееся кольцо яда
skillsd93	выпускает призрака-нежить
skillsd94	создает огненного голема
skillsd95	поднимает монстра, сражающегося за вас
skillsd96	повышенная точность и урон
skillsd97	удар щитом
skillsd98	аура - повышенный урон
skillsd99	аура - восстановление здоровья
skillsdThunderstoneGo	\white;заклинание - бросает заряженный камень, испускающий электрические заряды при столкновении
skillsname61	Fire Mastery
skillxan0	 
skillxan1	 
skillxan10	 
skillxan100	 
skillxan101	 
skillxan102	 
skillxan103	 
skillxan104	 
skillxan105	 
skillxan106	 
skillxan107	 
skillxan108	 
skillxan109	 
skillxan11	 
skillxan110	 
skillxan111	 
skillxan112	 
skillxan113	 
skillxan114	 
skillxan115	 
skillxan116	 
skillxan117	 
skillxan118	 
skillxan119	 
skillxan12	 
skillxan120	 
skillxan121	 
skillxan122	 
skillxan123	 
skillxan124	 
skillxan125	 
skillxan126	 
skillxan127	 
skillxan128	 
skillxan129	 
skillxan13	 
skillxan130	 
skillxan131	 
skillxan132	 
skillxan133	 
skillxan134	 
skillxan135	 
skillxan136	 
skillxan137	 
skillxan138	 
skillxan139	 
skillxan14	 
